j g(j) i g(i) wl A A+A^a A/(A+A^a) f
39 0 0 0 16.3581 8.48334E+12 3.84258E+14 0 3.40324E-01
38 0 0 0 16.3661 5.59324E+12 4.52245E+14 0 3.36902E-01
42 0 0 0 16.2951 3.46749E+12 7.72003E+14 0 2.07051E-01
23 0 0 0 16.5975 3.17340E+12 7.74884E+14 0 1.96589E-01
22 0 0 0 16.6186 4.19586E+12 5.83838E+14 0 1.73726E-01
40 0 0 0 16.3454 8.42322E+12 2.28647E+14 0 1.68693E-01
33 0 0 0 16.4376 1.78461E+12 3.91420E+14 0 1.08435E-01
43 0 0 0 16.2743 1.55635E+12 8.69283E+14 0 9.26963E-02
25 0 0 0 16.5761 1.40755E+12 7.95096E+14 0 8.69715E-02
32 0 0 0 16.4515 4.09244E+12 7.05676E+14 0 8.30271E-02
36 0 0 0 16.4183 1.33668E+12 5.07574E+14 0 8.10271E-02
31 0 0 0 16.5035 1.73564E+12 5.02805E+14 0 7.08710E-02
16 0 0 0 16.6832 1.01820E+12 1.70603E+14 0 6.37295E-02
37 0 0 0 16.3855 1.56940E+12 5.28739E+14 0 6.31706E-02
44 0 0 0 16.2743 1.29101E+12 3.21227E+14 0 5.12615E-02
19 0 0 0 16.6594 2.16153E+12 8.90768E+14 0 4.49682E-02
13 0 0 0 16.7096 7.01478E+11 4.50472E+14 0 4.40449E-02
41 0 0 0 16.3240 1.67716E+12 5.62756E+14 0 3.35009E-02
24 0 0 0 16.5918 1.06246E+12 3.34386E+14 0 2.19244E-02
11 0 0 0 16.7578 6.91235E+11 1.11314E+14 0 1.45508E-02
26 0 0 0 16.5569 3.44963E+11 5.45858E+14 0 1.41771E-02
20 0 0 0 16.6529 2.24174E+11 4.06520E+14 0 1.39802E-02
21 0 0 0 16.6345 3.33614E+11 6.72500E+14 0 1.38395E-02
35 0 0 0 16.4197 2.14884E+11 5.39523E+14 0 1.30282E-02
34 0 0 0 16.4351 3.15009E+11 3.56448E+14 0 1.27563E-02
45 0 0 0 16.0556 5.82707E+11 4.03099E+14 0 1.12598E-02
5 0 0 0 16.8269 4.41134E+11 6.86164E+13 0 9.36287E-03
30 0 0 0 16.5127 1.50690E+11 1.78362E+14 0 9.23992E-03
27 0 0 0 16.5451 4.29761E+11 5.96252E+14 0 8.81852E-03
46 0 0 0 16.0463 2.13746E+11 5.50001E+14 0 8.25098E-03
6 0 0 0 16.8234 1.92617E+11 9.70372E+13 0 8.17291E-03
4 0 0 0 16.8544 1.25578E+11 6.75262E+13 0 8.02215E-03
2 0 0 0 16.8764 7.65927E+10 4.90902E+13 0 4.90562E-03
12 0 0 0 16.7165 9.11025E+10 4.19777E+14 0 3.81665E-03
8 0 0 0 16.7829 1.05245E+11 4.46755E+14 0 2.22210E-03
7 0 0 0 16.8017 3.13197E+10 9.59427E+13 0 1.98826E-03
17 0 0 0 16.6713 3.02444E+10 2.93508E+14 0 1.89031E-03
29 0 0 0 16.5202 2.30206E+10 4.38429E+14 0 1.41285E-03
1 0 0 0 16.9178 2.86021E+10 3.37478E+13 0 1.22728E-03
3 0 0 0 16.8695 6.45546E+09 5.45832E+13 0 2.75417E-04
28 0 0 0 16.5397 4.99192E+09 5.55534E+14 0 2.04729E-04
15 0 0 0 16.6952 3.39592E+09 4.20251E+14 0 1.41905E-04
18 0 0 0 16.6668 2.99440E+09 4.73739E+14 0 1.24702E-04
9 0 0 0 16.7738 2.88468E+09 5.80690E+14 0 1.21680E-04
14 0 0 0 16.7052 5.09653E+09 8.08938E+14 0 1.06612E-04
10 0 0 0 16.7638 3.66260E+08 7.19653E+14 0 2.31463E-05
