j g(j) i g(i) wl A A+A^a A/(A+A^a) f
23 0 0 0 15.2652 1.41470E+13 2.09810E+13 0 9.88448E-01
24 0 0 0 15.2086 2.38480E+13 2.01390E+10 0 8.26960E-01
25 0 0 0 15.1127 8.92150E+12 4.03360E+13 0 6.10958E-01
29 0 0 0 14.0272 3.63616E+12 7.28040E+13 0 2.14524E-01
18 0 0 0 15.4277 2.95463E+12 1.30010E+14 0 2.10859E-01
16 0 0 0 15.5178 2.77912E+12 5.84150E+12 0 2.00657E-01
17 0 0 0 15.4936 4.55263E+12 1.17620E+14 0 1.63842E-01
28 0 0 0 14.0502 3.28495E+12 9.87420E+13 0 9.72187E-02
30 0 0 0 13.8899 6.68013E+11 6.77740E+13 0 1.93215E-02
31 0 0 0 13.8828 2.70981E+11 8.72690E+13 0 1.56596E-02
15 0 0 0 15.5657 3.34463E+11 2.63890E+13 0 1.21491E-02
9 0 0 0 15.6765 1.40499E+11 1.76850E+11 0 1.03528E-02
19 0 0 0 15.3767 1.23362E+11 1.96410E+13 0 8.74571E-03
20 0 0 0 15.3673 2.01465E+11 3.94970E+14 0 7.13265E-03
2 0 0 0 15.9415 1.50306E+11 1.64420E+13 0 5.72652E-03
3 0 0 0 15.8924 7.09968E+10 1.05770E+13 0 5.37657E-03
12 0 0 0 15.6085 5.62945E+10 1.65060E+13 0 4.11221E-03
27 0 0 0 14.1524 6.59486E+10 2.41960E+11 0 3.96054E-03
7 0 0 0 15.7012 4.67144E+10 2.29850E+13 0 3.45307E-03
13 0 0 0 15.5833 4.59143E+10 1.04630E+11 0 3.34315E-03
6 0 0 0 15.7173 8.25103E+10 4.92520E+13 0 3.05578E-03
4 0 0 0 15.8498 5.16038E+10 1.26680E+13 0 1.94351E-03
8 0 0 0 15.6951 5.06577E+10 6.32110E+11 0 1.87082E-03
10 0 0 0 15.6452 2.21772E+10 2.55830E+13 0 1.62764E-03
1 0 0 0 15.9463 1.89064E+10 5.24500E+12 0 1.44151E-03
21 0 0 0 15.3603 2.94570E+10 1.79120E+12 0 1.04195E-03
26 0 0 0 14.1651 2.37471E+10 1.20430E+11 0 7.14343E-04
14 0 0 0 15.5674 5.71659E+09 1.85660E+11 0 4.15389E-04
11 0 0 0 15.6241 3.14146E+09 8.21210E+11 0 1.14969E-04
22 0 0 0 15.3263 1.56922E+09 3.10160E+14 0 1.10522E-04
5 0 0 0 15.8470 9.15480E+08 3.61440E+11 0 6.89335E-05
