j g(j) i g(i) wl A A^a A/A^a f
12 2.000 1 4.000 9.89506 1.041E+13 4.111E+14 2.531E-02 7.638E-02
28 6.000 1 4.000 9.26132 1.154E+12 1.362E+13 8.477E-02 2.227E-02
29 4.000 1 4.000 9.26020 9.205E+11 1.451E+13 6.342E-02 1.184E-02
34 6.000 1 4.000 9.23199 3.812E+11 1.469E+13 2.596E-02 7.308E-03
36 4.000 1 4.000 9.22767 3.708E+11 1.235E+13 3.001E-02 4.733E-03
32 2.000 1 4.000 9.25104 7.045E+11 2.791E+12 2.524E-01 4.518E-03
31 2.000 1 4.000 9.25869 5.450E+11 1.570E+13 3.471E-02 3.500E-03
70 6.000 1 4.000 9.14345 1.561E+11 3.177E+12 4.913E-02 2.935E-03
72 4.000 1 4.000 9.14214 2.301E+11 3.484E+12 6.605E-02 2.883E-03
73 6.000 1 4.000 9.14210 1.365E+11 3.168E+12 4.307E-02 2.565E-03
30 4.000 1 4.000 9.25883 1.896E+11 1.510E+13 1.255E-02 2.436E-03
117 6.000 1 4.000 9.11051 9.105E+10 3.470E+12 2.624E-02 1.700E-03
129 6.000 1 4.000 9.09728 8.025E+10 1.352E+12 5.935E-02 1.494E-03
25 6.000 1 4.000 9.26328 5.557E+10 1.165E+13 4.770E-03 1.073E-03
130 4.000 1 4.000 9.09726 7.935E+10 1.425E+12 5.569E-02 9.845E-04
119 4.000 1 4.000 9.10950 7.733E+10 3.231E+12 2.393E-02 9.623E-04
33 4.000 1 4.000 9.23226 7.518E+10 1.435E+13 5.238E-03 9.608E-04
35 2.000 1 4.000 9.22770 1.428E+11 1.199E+13 1.191E-02 9.115E-04
120 2.000 1 4.000 9.10718 1.408E+11 8.719E+11 1.614E-01 8.753E-04
69 4.000 1 4.000 9.14378 6.615E+10 3.289E+12 2.011E-02 8.293E-04
41 2.000 1 4.000 9.19828 1.301E+11 2.253E+12 5.772E-02 8.248E-04
212 6.000 1 4.000 9.07420 4.122E+10 6.781E+11 6.079E-02 7.633E-04
76 2.000 1 4.000 9.14101 1.135E+11 3.672E+12 3.089E-02 7.105E-04
296 6.000 1 4.000 9.06409 3.610E+10 1.368E+12 2.639E-02 6.670E-04
132 4.000 1 4.000 9.09577 5.370E+10 1.249E+12 4.299E-02 6.660E-04
133 6.000 1 4.000 9.09562 3.475E+10 1.259E+12 2.760E-02 6.465E-04
213 4.000 1 4.000 9.07417 4.548E+10 7.503E+11 6.061E-02 5.615E-04
78 2.000 1 4.000 9.13091 6.970E+10 1.602E+12 4.350E-02 4.358E-04
307 6.000 1 4.000 9.06097 2.205E+10 3.693E+11 5.971E-02 4.073E-04
298 4.000 1 4.000 9.06370 3.185E+10 1.370E+12 2.325E-02 3.923E-04
68 6.000 1 4.000 9.14449 1.965E+10 3.204E+12 6.133E-03 3.695E-04
308 4.000 1 4.000 9.06095 2.753E+10 4.031E+11 6.829E-02 3.388E-04
428 6.000 1 4.000 9.04098 1.720E+10 6.565E+11 2.620E-02 3.163E-04
301 2.000 1 4.000 9.06263 4.559E+10 3.249E+11 1.403E-01 2.808E-04
216 6.000 1 4.000 9.07239 1.375E+10 6.104E+11 2.253E-02 2.545E-04
128 6.000 1 4.000 9.09764 1.248E+10 1.254E+12 9.950E-03 2.322E-04
116 4.000 1 4.000 9.11060 1.859E+10 3.381E+12 5.496E-03 2.313E-04
215 4.000 1 4.000 9.07249 1.675E+10 5.680E+11 2.949E-02 2.067E-04
430 4.000 1 4.000 9.04079 1.581E+10 6.751E+11 2.341E-02 1.937E-04
74 4.000 1 4.000 9.14192 1.508E+10 2.898E+12 5.205E-03 1.890E-04
26 4.000 1 4.000 9.26241 1.318E+10 1.159E+13 1.137E-03 1.696E-04
459 6.000 1 4.000 9.02775 8.710E+09 3.768E+11 2.311E-02 1.596E-04
22 6.000 1 4.000 9.26857 8.113E+09 1.448E+13 5.602E-04 1.568E-04
118 2.000 1 4.000 9.10952 2.480E+10 3.161E+12 7.846E-03 1.543E-04
214 2.000 1 4.000 9.07334 2.241E+10 7.567E+11 2.961E-02 1.383E-04
211 6.000 1 4.000 9.07437 6.813E+09 6.165E+11 1.105E-02 1.262E-04
431 2.000 1 4.000 9.03964 2.037E+10 7.551E+11 2.697E-02 1.248E-04
312 6.000 1 4.000 9.05908 6.567E+09 3.316E+11 1.980E-02 1.212E-04
136 2.000 1 4.000 9.09486 1.667E+10 1.455E+12 1.146E-02 1.034E-04
135 2.000 1 4.000 9.09530 1.646E+10 1.247E+12 1.320E-02 1.021E-04
461 4.000 1 4.000 9.02766 8.000E+09 4.043E+11 1.979E-02 9.775E-05
311 4.000 1 4.000 9.05914 7.888E+09 3.341E+11 2.361E-02 9.705E-05
223 2.000 1 4.000 9.07009 1.538E+10 6.538E+11 2.351E-02 9.483E-05
295 4.000 1 4.000 9.06413 7.618E+09 1.325E+12 5.748E-03 9.383E-05
463 2.000 1 4.000 9.02718 1.396E+10 2.252E+13 6.200E-04 8.528E-05
131 2.000 1 4.000 9.09628 1.158E+10 1.435E+12 8.066E-03 7.180E-05
306 6.000 1 4.000 9.06105 3.782E+09 3.298E+11 1.147E-02 6.983E-05
71 2.000 1 4.000 9.14294 1.078E+10 3.287E+12 3.280E-03 6.755E-05
23 4.000 1 4.000 9.26776 5.128E+09 1.444E+13 3.552E-04 6.605E-05
218 2.000 1 4.000 9.07223 1.061E+10 7.000E+11 1.515E-02 6.543E-05
297 2.000 1 4.000 9.06371 1.062E+10 1.284E+12 8.265E-03 6.535E-05
219 2.000 1 4.000 9.07174 9.120E+09 6.529E+11 1.397E-02 5.628E-05
427 4.000 1 4.000 9.04100 3.730E+09 6.760E+11 5.517E-03 4.570E-05
77 4.000 1 4.000 9.14058 2.950E+09 3.464E+12 8.515E-04 3.695E-05
429 2.000 1 4.000 9.04080 5.730E+09 6.615E+11 8.662E-03 3.513E-05
314 2.000 1 4.000 9.05900 4.761E+09 4.191E+11 1.136E-02 2.930E-05
458 4.000 1 4.000 9.02777 1.955E+09 3.699E+11 5.285E-03 2.389E-05
126 4.000 1 4.000 9.09821 1.675E+09 5.050E+11 3.318E-03 2.079E-05
460 2.000 1 4.000 9.02766 2.913E+09 4.239E+11 6.872E-03 1.780E-05
66 4.000 1 4.000 9.14625 1.408E+09 1.053E+12 1.337E-03 1.765E-05
209 4.000 1 4.000 9.07460 1.077E+09 2.774E+11 3.881E-03 1.330E-05
140 2.000 1 4.000 9.08836 1.583E+09 1.696E+12 9.334E-04 9.803E-06
310 2.000 1 4.000 9.05982 1.317E+09 4.602E+11 2.862E-03 8.103E-06
304 4.000 1 4.000 9.06116 5.800E+08 1.573E+11 3.688E-03 7.140E-06
315 2.000 1 4.000 9.05827 9.395E+08 3.713E+11 2.530E-03 5.778E-06
24 2.000 1 4.000 9.26717 8.365E+08 1.455E+13 5.749E-05 5.385E-06
20 4.000 1 4.000 9.27724 1.623E+08 4.210E+12 3.855E-05 2.094E-06
137 4.000 1 4.000 9.09440 1.682E+08 1.328E+12 1.267E-04 2.086E-06
372 2.000 1 4.000 9.05547 1.559E+08 1.930E+12 8.076E-05 9.580E-07
44 8.000 1 4.000 9.19663 2.234E+07 8.193E+10 2.726E-04 5.665E-07
178 6.000 1 4.000 9.08464 3.003E+07 5.547E+08 5.414E-02 5.575E-07
75 2.000 1 4.000 9.14171 8.359E+07 2.875E+12 2.907E-05 5.235E-07
413 6.000 1 4.000 9.05198 2.542E+07 4.720E+08 5.385E-02 4.683E-07
134 4.000 1 4.000 9.09547 3.681E+07 1.287E+12 2.859E-05 4.566E-07
46 6.000 1 4.000 9.19527 1.410E+07 7.987E+10 1.766E-04 2.683E-07
438 6.000 1 4.000 9.03435 1.412E+07 3.373E+08 4.188E-02 2.593E-07
313 4.000 1 4.000 9.05903 2.020E+07 4.311E+11 4.686E-05 2.485E-07
48 4.000 1 4.000 9.19357 1.944E+07 7.647E+10 2.542E-04 2.463E-07
217 4.000 1 4.000 9.07230 1.823E+07 7.045E+11 2.588E-05 2.250E-07
27 2.000 1 4.000 9.26208 3.145E+07 1.137E+13 2.766E-06 2.022E-07
56 8.000 1 4.000 9.16369 7.625E+06 1.580E+11 4.826E-05 1.920E-07
87 8.000 1 4.000 9.12126 7.259E+06 5.426E+10 1.338E-04 1.811E-07
168 6.000 1 4.000 9.08522 9.663E+06 1.369E+08 7.061E-02 1.794E-07
472 6.000 1 4.000 9.02375 9.302E+06 2.176E+11 4.275E-05 1.704E-07
53 2.000 1 4.000 9.19185 2.528E+07 6.121E+10 4.129E-04 1.601E-07
188 6.000 1 4.000 9.08342 8.442E+06 1.615E+08 5.228E-02 1.567E-07
142 8.000 1 4.000 9.08823 6.012E+06 6.737E+10 8.925E-05 1.489E-07
290 6.000 1 4.000 9.06455 7.342E+06 9.929E+08 7.394E-03 1.357E-07
49 6.000 1 4.000 9.19352 6.698E+06 9.254E+10 7.238E-05 1.273E-07
89 6.000 1 4.000 9.11997 6.273E+06 4.907E+10 1.278E-04 1.174E-07
61 6.000 1 4.000 9.16025 6.027E+06 1.631E+11 3.696E-05 1.137E-07
86 6.000 1 4.000 9.12132 5.543E+06 6.399E+10 8.663E-05 1.037E-07
85 8.000 1 4.000 9.12180 4.080E+06 6.978E+10 5.847E-05 1.018E-07
222 4.000 1 4.000 9.07126 7.460E+06 6.029E+11 1.237E-05 9.203E-08
201 6.000 1 4.000 9.08222 4.852E+06 1.769E+08 2.742E-02 9.000E-08
93 4.000 1 4.000 9.11931 7.130E+06 5.390E+10 1.323E-04 8.890E-08
104 6.000 1 4.000 9.11791 4.687E+06 1.440E+08 3.255E-02 8.763E-08
316 4.000 1 4.000 9.05798 6.833E+06 3.024E+11 2.259E-05 8.405E-08
374 6.000 1 4.000 9.05503 4.448E+06 7.843E+07 5.672E-02 8.203E-08
42 8.000 1 4.000 9.19794 3.078E+06 1.564E+11 1.968E-05 7.808E-08
159 6.000 1 4.000 9.08536 3.893E+06 5.677E+07 6.858E-02 7.228E-08
149 6.000 1 4.000 9.08701 3.708E+06 8.473E+10 4.377E-05 6.888E-08
355 6.000 1 4.000 9.05693 3.645E+06 7.276E+07 5.010E-02 6.723E-08
102 2.000 1 4.000 9.11809 1.035E+07 4.219E+10 2.453E-04 6.450E-08
54 4.000 1 4.000 9.19017 4.890E+06 5.152E+10 9.492E-05 6.193E-08
139 4.000 1 4.000 9.08850 4.795E+06 7.542E+10 6.358E-05 5.940E-08
151 8.000 1 4.000 9.08693 2.314E+06 3.379E+10 6.847E-05 5.728E-08
150 6.000 1 4.000 9.08695 3.077E+06 3.699E+10 8.318E-05 5.713E-08
179 4.000 1 4.000 9.08464 4.435E+06 5.672E+08 7.820E-03 5.488E-08
109 6.000 1 4.000 9.11624 2.925E+06 1.920E+08 1.523E-02 5.465E-08
88 4.000 1 4.000 9.12065 4.270E+06 6.219E+10 6.866E-05 5.325E-08
62 4.000 1 4.000 9.16023 4.225E+06 1.945E+11 2.172E-05 5.318E-08
138 2.000 1 4.000 9.08858 8.385E+06 7.046E+10 1.190E-04 5.193E-08
229 6.000 1 4.000 9.06856 2.727E+06 1.679E+10 1.624E-04 5.043E-08
414 4.000 1 4.000 9.05198 3.923E+06 4.758E+08 8.245E-03 4.820E-08
91 8.000 1 4.000 9.11940 1.870E+06 6.503E+10 2.875E-05 4.663E-08
227 8.000 1 4.000 9.06869 1.816E+06 1.827E+10 9.942E-05 4.478E-08
408 8.000 1 4.000 9.05378 1.815E+06 4.211E+10 4.310E-05 4.460E-08
400 6.000 1 4.000 9.05391 2.403E+06 9.187E+07 2.616E-02 4.430E-08
52 6.000 1 4.000 9.19279 2.302E+06 9.999E+10 2.302E-05 4.375E-08
156 6.000 1 4.000 9.08539 2.068E+06 2.482E+10 8.332E-05 3.840E-08
231 4.000 1 4.000 9.06827 3.060E+06 1.622E+10 1.887E-04 3.773E-08
252 6.000 1 4.000 9.06756 2.013E+06 9.983E+07 2.017E-02 3.723E-08
160 4.000 1 4.000 9.08534 2.998E+06 8.235E+07 3.640E-02 3.710E-08
43 6.000 1 4.000 9.19717 1.893E+06 1.553E+11 1.219E-05 3.603E-08
147 8.000 1 4.000 9.08718 1.416E+06 4.062E+10 3.487E-05 3.508E-08
58 2.000 1 4.000 9.16219 5.180E+06 2.355E+11 2.200E-05 3.258E-08
230 8.000 1 4.000 9.06855 1.318E+06 1.769E+10 7.448E-05 3.250E-08
410 6.000 1 4.000 9.05327 1.758E+06 4.991E+10 3.523E-05 3.240E-08
