j g(j) i g(i) wl A A+A^a A/(A+A^a) f
19 7.000 1 5.000 30.9736 4.656E+11 1.678E+14 2.774E-03 9.376E-02
20 3.000 1 5.000 30.8951 1.063E+12 3.479E+13 3.056E-02 9.130E-02
23 5.000 1 5.000 30.7852 3.444E+11 1.388E+14 2.482E-03 4.894E-02
22 3.000 1 5.000 30.7854 1.975E+11 1.381E+14 1.430E-03 1.684E-02
18 5.000 1 5.000 30.9737 1.138E+11 1.693E+14 6.722E-04 1.637E-02
43 7.000 1 5.000 29.3365 7.904E+10 1.298E+13 6.090E-03 1.428E-02
109 7.000 1 5.000 29.0477 6.131E+10 1.060E+12 5.785E-02 1.086E-02
47 5.000 1 5.000 29.3114 6.168E+10 1.043E+13 5.913E-03 7.946E-03
112 5.000 1 5.000 29.0369 4.508E+10 1.072E+12 4.204E-02 5.698E-03
37 3.000 1 5.000 29.4031 5.690E+10 7.100E+11 8.014E-02 4.424E-03
417 7.000 1 5.000 28.8472 1.999E+10 3.888E+12 5.140E-03 3.490E-03
187 7.000 1 5.000 28.9330 1.944E+10 5.619E+12 3.460E-03 3.416E-03
182 3.000 1 5.000 28.9415 3.763E+10 9.285E+11 4.053E-02 2.836E-03
570 7.000 1 5.000 28.7564 1.626E+10 9.525E+13 1.707E-04 2.822E-03
292 7.000 1 5.000 28.8799 1.583E+10 3.524E+12 4.491E-03 2.772E-03
46 3.000 1 5.000 29.3121 3.480E+10 1.045E+13 3.330E-03 2.690E-03
572 5.000 1 5.000 28.7474 2.064E+10 8.619E+13 2.395E-04 2.556E-03
426 5.000 1 5.000 28.8456 1.931E+10 2.452E+12 7.878E-03 2.410E-03
42 5.000 1 5.000 29.3377 1.832E+10 1.316E+13 1.392E-03 2.364E-03
611 3.000 1 5.000 28.6975 3.089E+10 1.364E+13 2.264E-03 2.288E-03
191 5.000 1 5.000 28.9287 1.537E+10 3.508E+12 4.382E-03 1.929E-03
108 5.000 1 5.000 29.0489 1.414E+10 1.083E+12 1.306E-02 1.789E-03
111 3.000 1 5.000 29.0372 2.336E+10 1.154E+12 2.024E-02 1.772E-03
295 5.000 1 5.000 28.8777 1.395E+10 2.166E+12 6.444E-03 1.745E-03
167 3.000 1 5.000 28.9767 2.240E+10 1.909E+12 1.174E-02 1.692E-03
746 3.000 1 5.000 28.5907 1.796E+10 7.328E+12 2.451E-03 1.321E-03
17 3.000 1 5.000 30.9737 1.231E+10 1.691E+14 7.278E-05 1.062E-03
1061 3.000 1 5.000 28.5023 1.409E+10 2.148E+13 6.559E-04 1.029E-03
996 3.000 1 5.000 28.5362 1.309E+10 6.885E+12 1.901E-03 9.586E-04
422 3.000 1 5.000 28.8463 1.108E+10 2.376E+12 4.664E-03 8.294E-04
554 5.000 1 5.000 28.7844 6.564E+09 8.752E+12 7.500E-04 8.154E-04
