j g(j) i g(i) wl A A^a A/A^a f
13 2.000 1 2.000 30.4691 1.096E+12 2.176E+13 5.036E-02 1.525E-01
11 4.000 1 2.000 30.5326 4.578E+11 1.348E+14 3.396E-03 1.280E-01
14 4.000 1 2.000 30.4673 2.598E+11 2.145E+13 1.211E-02 7.230E-02
33 4.000 1 2.000 28.1396 1.460E+11 1.416E+13 1.031E-02 3.466E-02
15 2.000 1 2.000 30.2298 1.696E+11 8.273E+13 2.050E-03 2.323E-02
79 4.000 1 2.000 27.6461 5.570E+10 1.013E+13 5.499E-03 1.277E-02
25 2.000 1 2.000 28.2288 9.395E+10 2.128E+12 4.415E-02 1.123E-02
134 4.000 1 2.000 27.4511 4.393E+10 9.440E+11 4.653E-02 9.925E-03
55 2.000 1 2.000 27.9274 6.875E+10 4.544E+12 1.513E-02 8.040E-03
35 2.000 1 2.000 28.0918 5.915E+10 4.744E+12 1.247E-02 6.995E-03
74 2.000 1 2.000 27.6761 5.965E+10 3.325E+11 1.794E-01 6.850E-03
313 4.000 1 2.000 27.2772 2.955E+10 4.818E+12 6.133E-03 6.590E-03
26 4.000 1 2.000 28.2285 2.245E+10 2.391E+12 9.392E-03 5.365E-03
158 2.000 1 2.000 27.4188 4.295E+10 1.511E+12 2.842E-02 4.841E-03
222 4.000 1 2.000 27.3394 1.973E+10 4.539E+12 4.348E-03 4.423E-03
56 4.000 1 2.000 27.9268 1.749E+10 4.591E+12 3.810E-03 4.091E-03
75 4.000 1 2.000 27.6752 1.594E+10 3.129E+11 5.092E-02 3.660E-03
52 4.000 1 2.000 27.9570 1.312E+10 1.564E+13 8.386E-04 3.074E-03
407 2.000 1 2.000 27.2138 2.712E+10 9.830E+11 2.758E-02 3.011E-03
211 2.000 1 2.000 27.3492 2.465E+10 1.681E+11 1.466E-01 2.764E-03
402 2.000 1 2.000 27.2608 2.450E+10 3.927E+12 6.240E-03 2.730E-03
81 2.000 1 2.000 27.6205 2.165E+10 4.937E+12 4.386E-03 2.476E-03
161 4.000 1 2.000 27.4185 1.053E+10 1.531E+12 6.878E-03 2.374E-03
136 2.000 1 2.000 27.4424 1.844E+10 2.632E+11 7.004E-02 2.082E-03
212 4.000 1 2.000 27.3483 7.653E+09 1.323E+11 5.782E-02 1.717E-03
434 2.000 1 2.000 27.1091 1.453E+10 1.738E+13 8.359E-04 1.601E-03
408 4.000 1 2.000 27.2137 6.765E+09 1.040E+12 6.502E-03 1.503E-03
306 2.000 1 2.000 27.2870 1.318E+10 1.718E+11 7.675E-02 1.471E-03
466 2.000 1 2.000 27.0474 1.146E+10 1.988E+13 5.767E-04 1.257E-03
127 2.000 1 2.000 27.4669 9.495E+09 9.338E+11 1.017E-02 1.074E-03
307 4.000 1 2.000 27.2860 4.508E+09 1.881E+11 2.396E-02 1.007E-03
247 2.000 1 2.000 27.3272 8.290E+09 2.776E+12 2.986E-03 9.285E-04
435 4.000 1 2.000 27.1090 3.660E+09 4.772E+12 7.669E-04 8.065E-04
129 4.000 1 2.000 27.4663 3.015E+09 8.961E+11 3.365E-03 6.820E-04
467 4.000 1 2.000 27.0473 2.890E+09 4.745E+12 6.091E-04 6.340E-04
220 4.000 1 2.000 27.3408 2.047E+09 1.756E+11 1.166E-02 4.589E-04
57 2.000 1 2.000 27.9151 3.821E+09 9.993E+12 3.824E-04 4.464E-04
27 4.000 1 2.000 28.2254 1.698E+09 5.585E+12 3.039E-04 4.055E-04
431 4.000 1 2.000 27.1131 1.728E+09 1.662E+12 1.040E-03 3.810E-04
465 4.000 1 2.000 27.0503 1.483E+09 1.591E+13 9.322E-05 3.254E-04
406 4.000 1 2.000 27.2206 9.430E+08 4.199E+12 2.246E-04 2.096E-04
213 2.000 1 2.000 27.3478 9.500E+08 9.322E+11 1.019E-03 1.066E-04
400 4.000 1 2.000 27.2702 4.483E+08 1.023E+10 4.382E-02 9.995E-05
215 4.000 1 2.000 27.3470 3.893E+08 1.052E+12 3.698E-04 8.725E-05
305 4.000 1 2.000 27.2881 3.635E+08 4.212E+11 8.629E-04 8.115E-05
409 2.000 1 2.000 27.2079 7.055E+08 5.948E+12 1.186E-04 7.830E-05
143 4.000 1 2.000 27.4291 2.868E+08 9.705E+12 2.955E-05 6.470E-05
124 2.000 1 2.000 27.4694 4.792E+08 1.020E+12 4.697E-04 5.420E-05
468 2.000 1 2.000 27.0461 3.258E+08 2.389E+13 1.363E-05 3.573E-05
308 2.000 1 2.000 27.2847 2.950E+08 7.656E+11 3.854E-04 3.293E-05
208 4.000 1 2.000 27.3524 1.460E+08 6.093E+11 2.397E-04 3.276E-05
301 2.000 1 2.000 27.2908 2.615E+08 3.541E+11 7.384E-04 2.920E-05
