j g(j) i g(i) wl A A^a A/A^a f
10 3.000 1 1.000 14.2941 1.163E+11 1.453E+12 8.002E-02 1.069E-02
20 3.000 1 1.000 14.2657 1.589E+10 1.976E+11 8.040E-02 1.454E-03
34 3.000 1 1.000 14.2565 5.210E+09 6.475E+10 8.046E-02 4.763E-04
52 3.000 1 1.000 14.2521 2.189E+09 2.719E+10 8.048E-02 1.999E-04
74 3.000 1 1.000 14.2497 9.990E+08 1.243E+10 8.036E-02 9.125E-05
8 3.000 1 1.000 14.2957 9.277E+06 1.948E+12 4.762E-06 8.527E-07
18 3.000 1 1.000 14.2659 4.487E+06 2.401E+11 1.868E-05 4.106E-07
32 3.000 1 1.000 14.2565 4.280E+06 7.719E+10 5.544E-05 3.913E-07
50 3.000 1 1.000 14.2522 3.467E+06 3.200E+10 1.083E-04 3.168E-07
72 3.000 1 1.000 14.2497 3.081E+06 1.443E+10 2.134E-04 2.814E-07
7 5.000 1 1.000 14.2957 2.566E+04 1.951E+12 1.315E-08 3.932E-09
14 5.000 1 1.000 14.2690 4.182E+03 5.526E+07 7.567E-05 6.381E-10
19 5.000 1 1.000 14.2659 3.160E+03 2.396E+11 1.319E-08 4.820E-10
16 5.000 1 1.000 14.2690 2.938E+03 6.681E+07 4.397E-05 4.483E-10
24 5.000 1 1.000 14.2581 2.474E+03 3.415E+07 7.244E-05 3.771E-10
26 5.000 1 1.000 14.2581 1.749E+03 4.118E+07 4.246E-05 2.665E-10
38 5.000 1 1.000 14.2530 1.423E+03 1.958E+07 7.265E-05 2.166E-10
33 5.000 1 1.000 14.2565 1.017E+03 7.701E+10 1.320E-08 1.549E-10
40 5.000 1 1.000 14.2530 1.009E+03 2.355E+07 4.286E-05 1.537E-10
56 5.000 1 1.000 14.2503 8.592E+02 1.216E+07 7.064E-05 1.308E-10
58 5.000 1 1.000 14.2503 6.118E+02 1.460E+07 4.190E-05 9.313E-11
76 5.000 1 1.000 14.2486 5.426E+02 7.829E+06 6.930E-05 8.258E-11
51 5.000 1 1.000 14.2522 4.216E+02 3.192E+10 1.321E-08 6.420E-11
78 5.000 1 1.000 14.2486 3.884E+02 9.370E+06 4.145E-05 5.910E-11
73 5.000 1 1.000 14.2497 1.902E+02 1.440E+10 1.321E-08 2.896E-11
5 3.000 1 1.000 14.3270 1.589E+02 1.644E+12 9.665E-11 1.467E-11
11 3.000 1 1.000 14.2744 1.920E+01 1.965E+11 9.769E-11 1.759E-12
21 3.000 1 1.000 14.2601 5.777E+00 5.899E+10 9.792E-11 5.285E-13
35 3.000 1 1.000 14.2539 2.332E+00 2.378E+10 9.808E-11 2.131E-13
53 3.000 1 1.000 14.2508 1.028E+00 1.048E+10 9.814E-11 9.389E-14
15 3.000 1 1.000 14.2690 1.984E-04 9.403E+07 2.110E-12 1.816E-17
25 3.000 1 1.000 14.2581 1.179E-04 5.803E+07 2.032E-12 1.078E-17
39 3.000 1 1.000 14.2530 6.797E-05 3.321E+07 2.046E-12 6.211E-18
57 3.000 1 1.000 14.2503 4.113E-05 2.062E+07 1.995E-12 3.758E-18
77 3.000 1 1.000 14.2486 2.604E-05 1.325E+07 1.965E-12 2.378E-18
27 5.000 1 1.000 14.2580 1.016E-11 1.440E+04 7.057E-16 1.548E-24
41 5.000 1 1.000 14.2530 8.744E-12 1.236E+04 7.074E-16 1.331E-24
59 5.000 1 1.000 14.2503 6.360E-12 8.984E+03 7.079E-16 9.680E-25
79 5.000 1 1.000 14.2486 4.538E-12 6.409E+03 7.080E-16 6.906E-25
