j g(j) i g(i) wl A A+A^a A/(A+A^a) f
12 2.000 1 4.000 14.6312 3.886E+12 2.710E+14 1.434E-02 6.235E-02
28 6.000 1 4.000 14.0030 2.563E+11 5.584E+12 4.591E-02 1.130E-02
29 4.000 1 4.000 14.0019 2.007E+11 5.899E+12 3.402E-02 5.898E-03
34 6.000 1 4.000 13.9562 8.892E+10 6.052E+12 1.469E-02 3.895E-03
35 4.000 1 4.000 13.9514 8.050E+10 5.208E+12 1.546E-02 2.349E-03
32 2.000 1 4.000 13.9847 1.354E+11 8.210E+11 1.649E-01 1.985E-03
30 4.000 1 4.000 14.0003 6.278E+10 6.139E+12 1.023E-02 1.845E-03
31 2.000 1 4.000 14.0000 1.049E+11 6.479E+12 1.619E-02 1.541E-03
64 6.000 1 4.000 13.9185 2.993E+10 9.611E+11 3.114E-02 1.304E-03
58 2.000 1 4.000 13.9326 8.735E+10 1.823E+11 4.792E-01 1.271E-03
25 6.000 1 4.000 14.0046 2.493E+10 4.880E+12 5.109E-03 1.100E-03
66 4.000 1 4.000 13.9171 3.453E+10 1.010E+12 3.418E-02 1.003E-03
67 6.000 1 4.000 13.9170 1.715E+10 9.336E+11 1.837E-02 7.470E-04
245 6.000 1 4.000 13.8675 1.487E+10 1.003E+12 1.483E-02 6.433E-04
63 4.000 1 4.000 13.9186 1.987E+10 9.847E+11 2.018E-02 5.773E-04
120 6.000 1 4.000 13.8879 1.218E+10 3.543E+11 3.436E-02 5.280E-04
465 2.000 1 4.000 13.8107 3.475E+10 4.921E+14 7.062E-05 4.968E-04
33 4.000 1 4.000 13.9564 1.566E+10 5.977E+12 2.621E-03 4.573E-04
36 2.000 1 4.000 13.9514 2.994E+10 5.112E+12 5.856E-03 4.370E-04
249 4.000 1 4.000 13.8666 1.436E+10 9.657E+11 1.486E-02 4.138E-04
121 4.000 1 4.000 13.8879 1.335E+10 3.982E+11 3.352E-02 3.860E-04
434 2.000 1 4.000 13.8175 2.354E+10 3.949E+14 5.961E-05 3.370E-04
409 2.000 1 4.000 13.8279 2.077E+10 4.961E+14 4.186E-05 2.978E-04
195 6.000 1 4.000 13.8731 5.675E+09 1.693E+11 3.352E-02 2.456E-04
406 6.000 1 4.000 13.8366 5.297E+09 9.235E+11 5.735E-03 2.280E-04
62 6.000 1 4.000 13.9192 4.618E+09 9.347E+11 4.941E-03 2.012E-04
126 6.000 1 4.000 13.8861 4.318E+09 3.343E+11 1.292E-02 1.872E-04
196 4.000 1 4.000 13.8730 6.428E+09 1.849E+11 3.476E-02 1.855E-04
70 2.000 1 4.000 13.9160 1.239E+10 1.094E+12 1.132E-02 1.798E-04
125 4.000 1 4.000 13.8862 5.835E+09 3.157E+11 1.848E-02 1.687E-04
408 4.000 1 4.000 13.8363 5.135E+09 2.249E+12 2.283E-03 1.474E-04
91 2.000 1 4.000 13.8967 1.017E+10 1.266E+11 8.031E-02 1.473E-04
197 2.000 1 4.000 13.8725 9.070E+09 1.577E+11 5.752E-02 1.308E-04
282 6.000 1 4.000 13.8647 2.677E+09 8.717E+10 3.070E-02 1.157E-04
283 4.000 1 4.000 13.8647 4.015E+09 8.463E+10 4.744E-02 1.157E-04
119 6.000 1 4.000 13.8881 2.465E+09 3.309E+11 7.449E-03 1.069E-04
275 2.000 1 4.000 13.8651 7.035E+09 4.942E+10 1.424E-01 1.014E-04
431 6.000 1 4.000 13.8217 2.335E+09 4.031E+11 5.793E-03 1.003E-04
244 4.000 1 4.000 13.8675 2.745E+09 9.885E+11 2.777E-03 7.913E-05
248 2.000 1 4.000 13.8666 5.240E+09 9.344E+11 5.608E-03 7.555E-05
399 2.000 1 4.000 13.8445 5.135E+09 2.269E+11 2.263E-02 7.378E-05
199 6.000 1 4.000 13.8711 1.700E+09 1.462E+11 1.162E-02 7.355E-05
26 4.000 1 4.000 14.0036 2.406E+09 4.811E+12 5.002E-04 7.075E-05
20 6.000 1 4.000 14.0104 1.559E+09 6.060E+12 2.572E-04 6.880E-05
433 4.000 1 4.000 13.8216 2.267E+09 1.058E+12 2.142E-03 6.493E-05
194 6.000 1 4.000 13.8732 1.220E+09 1.513E+11 8.061E-03 5.278E-05
198 4.000 1 4.000 13.8712 1.806E+09 1.299E+11 1.390E-02 5.210E-05
462 6.000 1 4.000 13.8134 1.097E+09 1.926E+11 5.697E-03 4.708E-05
21 4.000 1 4.000 14.0095 1.301E+09 6.053E+12 2.149E-04 3.828E-05
128 2.000 1 4.000 13.8858 2.646E+09 3.501E+11 7.557E-03 3.825E-05
201 2.000 1 4.000 13.8710 2.442E+09 1.544E+11 1.581E-02 3.523E-05
202 2.000 1 4.000 13.8709 2.327E+09 1.339E+11 1.738E-02 3.358E-05
293 6.000 1 4.000 13.8627 7.568E+08 7.216E+10 1.049E-02 3.270E-05
464 4.000 1 4.000 13.8133 1.075E+09 5.232E+11 2.054E-03 3.075E-05
405 4.000 1 4.000 13.8366 1.004E+09 1.137E+12 8.828E-04 2.883E-05
407 2.000 1 4.000 13.8363 1.918E+09 3.295E+13 5.820E-05 2.753E-05
292 4.000 1 4.000 13.8628 9.378E+08 6.819E+10 1.375E-02 2.703E-05
122 2.000 1 4.000 13.8868 1.847E+09 3.893E+11 4.743E-03 2.670E-05
280 6.000 1 4.000 13.8648 5.900E+08 7.346E+10 8.032E-03 2.550E-05
65 2.000 1 4.000 13.9177 1.558E+09 9.693E+11 1.607E-03 2.262E-05
129 2.000 1 4.000 13.8853 1.434E+09 3.586E+11 3.998E-03 2.073E-05
