j g(j) i g(i) wl A A^a A/A^a f
21 6.000 1 4.000 14.3711 2.555E+12 2.728E+14 9.366E-03 1.187E-01
22 4.000 1 4.000 14.3696 2.558E+12 2.718E+14 9.408E-03 7.918E-02
23 2.000 1 4.000 14.3686 2.559E+12 2.727E+14 9.384E-03 3.960E-02
34 6.000 1 4.000 13.3593 5.153E+11 2.405E+13 2.143E-02 2.068E-02
35 4.000 1 4.000 13.3593 5.155E+11 2.414E+13 2.136E-02 1.379E-02
128 6.000 1 4.000 13.1399 2.207E+11 1.591E+13 1.387E-02 8.565E-03
36 2.000 1 4.000 13.3593 5.155E+11 2.408E+13 2.141E-02 6.898E-03
75 6.000 1 4.000 13.2351 1.594E+11 5.868E+12 2.716E-02 6.278E-03
130 4.000 1 4.000 13.1398 2.193E+11 1.579E+13 1.389E-02 5.678E-03
78 6.000 1 4.000 13.2224 1.370E+11 8.329E+12 1.645E-02 5.388E-03
264 6.000 1 4.000 13.0109 1.238E+11 5.801E+12 2.133E-02 4.710E-03
198 6.000 1 4.000 13.0588 1.220E+11 5.914E+12 2.063E-02 4.680E-03
74 4.000 1 4.000 13.2352 1.601E+11 5.536E+12 2.892E-02 4.203E-03
77 4.000 1 4.000 13.2229 1.352E+11 7.743E+12 1.746E-02 3.545E-03
199 4.000 1 4.000 13.0588 1.221E+11 5.580E+12 2.187E-02 3.120E-03
263 4.000 1 4.000 13.0110 1.219E+11 5.475E+12 2.227E-02 3.095E-03
343 6.000 1 4.000 12.9880 7.490E+10 4.180E+12 1.792E-02 2.843E-03
132 2.000 1 4.000 13.1397 2.189E+11 1.626E+13 1.346E-02 2.833E-03
310 6.000 1 4.000 13.0018 7.418E+10 2.363E+12 3.140E-02 2.820E-03
73 2.000 1 4.000 13.2352 1.609E+11 5.749E+12 2.799E-02 2.113E-03
309 4.000 1 4.000 13.0019 7.603E+10 2.430E+12 3.128E-02 1.927E-03
342 4.000 1 4.000 12.9881 7.543E+10 3.679E+12 2.050E-02 1.908E-03
76 2.000 1 4.000 13.2232 1.341E+11 7.381E+12 1.816E-02 1.757E-03
620 6.000 1 4.000 12.9124 4.287E+10 6.569E+12 6.526E-03 1.608E-03
200 2.000 1 4.000 13.0588 1.221E+11 5.569E+12 2.193E-02 1.561E-03
262 2.000 1 4.000 13.0110 1.205E+11 5.364E+12 2.247E-02 1.530E-03
619 4.000 1 4.000 12.9125 4.350E+10 4.740E+12 9.177E-03 1.087E-03
833 6.000 1 4.000 12.8676 2.755E+10 9.879E+11 2.789E-02 1.026E-03
308 2.000 1 4.000 13.0020 7.745E+10 2.291E+12 3.381E-02 9.818E-04
341 2.000 1 4.000 12.9881 7.590E+10 3.484E+12 2.178E-02 9.600E-04
832 4.000 1 4.000 12.8676 2.678E+10 1.402E+12 1.910E-02 6.648E-04
491 6.000 1 4.000 12.9343 1.703E+10 3.607E+12 4.722E-03 6.405E-04
442 6.000 1 4.000 12.9664 1.628E+10 6.753E+12 2.411E-03 6.155E-04
1120 6.000 1 4.000 12.8413 1.622E+10 1.664E+12 9.748E-03 6.015E-04
618 2.000 1 4.000 12.9126 4.396E+10 8.007E+12 5.489E-03 5.495E-04
490 4.000 1 4.000 12.9344 1.665E+10 3.388E+12 4.914E-03 4.175E-04
1119 4.000 1 4.000 12.8414 1.629E+10 1.264E+12 1.289E-02 4.028E-04
443 4.000 1 4.000 12.9662 1.560E+10 6.675E+12 2.336E-03 3.930E-04
93 6.000 1 4.000 13.1836 5.353E+09 8.950E+12 5.981E-04 2.093E-04
489 2.000 1 4.000 12.9344 1.640E+10 2.998E+12 5.468E-03 2.056E-04
1118 2.000 1 4.000 12.8414 1.636E+10 2.383E+12 6.865E-03 2.022E-04
