j g(j) i g(i) wl A A+A^a A/(A+A^a) f
20 4.000 1 2.000 9.96937 2.186E+13 2.605E+13 8.393E-01 6.515E-01
32 4.000 1 2.000 9.69293 7.880E+12 7.943E+12 9.921E-01 2.220E-01
29 2.000 1 2.000 9.73585 9.420E+12 1.001E+13 9.409E-01 1.339E-01
129 4.000 1 2.000 7.59070 7.275E+12 1.105E+13 6.586E-01 1.257E-01
28 4.000 1 2.000 9.75290 3.323E+12 4.105E+12 8.094E-01 9.475E-02
140 4.000 1 2.000 7.38350 3.923E+12 5.171E+12 7.585E-01 6.415E-02
234 4.000 1 2.000 6.83940 3.398E+12 5.788E+12 5.870E-01 4.764E-02
139 2.000 1 2.000 7.38931 4.993E+12 6.238E+12 8.005E-01 4.087E-02
136 4.000 1 2.000 7.40417 2.108E+12 3.708E+12 5.684E-01 3.465E-02
26 4.000 1 2.000 9.79684 1.075E+12 1.879E+12 5.719E-01 3.093E-02
25 2.000 1 2.000 9.83183 1.999E+12 2.219E+12 9.010E-01 2.898E-02
252 4.000 1 2.000 6.65940 1.943E+12 2.988E+12 6.503E-01 2.584E-02
281 4.000 1 2.000 6.49169 2.035E+12 3.606E+12 5.644E-01 2.572E-02
46 2.000 1 2.000 9.53219 1.765E+12 1.254E+13 1.408E-01 2.405E-02
16 2.000 1 2.000 10.4112 1.120E+12 3.533E+12 3.169E-01 1.819E-02
34 4.000 1 2.000 9.63380 6.383E+11 4.566E+12 1.398E-01 1.776E-02
38 4.000 1 2.000 9.60731 6.373E+11 4.994E+12 1.276E-01 1.764E-02
251 2.000 1 2.000 6.66108 2.600E+12 3.604E+12 7.215E-01 1.730E-02
329 4.000 1 2.000 6.32473 1.221E+12 2.102E+12 5.806E-01 1.464E-02
62 4.000 1 2.000 9.32151 5.605E+11 3.678E+12 1.524E-01 1.461E-02
350 4.000 1 2.000 6.29874 1.202E+12 2.243E+12 5.360E-01 1.430E-02
111 4.000 1 2.000 8.80874 5.905E+11 2.090E+13 2.825E-02 1.374E-02
56 2.000 1 2.000 9.36514 9.645E+11 4.942E+12 1.952E-01 1.268E-02
246 4.000 1 2.000 6.66790 7.758E+11 1.966E+12 3.946E-01 1.035E-02
327 2.000 1 2.000 6.32545 1.605E+12 2.336E+12 6.871E-01 9.625E-03
134 2.000 1 2.000 7.42699 1.113E+12 2.370E+12 4.695E-01 9.205E-03
67 2.000 1 2.000 9.18681 7.190E+11 4.834E+12 1.487E-01 9.095E-03
63 2.000 1 2.000 9.28027 6.695E+11 1.316E+12 5.087E-01 8.645E-03
245 4.000 1 2.000 6.67972 6.285E+11 1.575E+12 3.992E-01 8.410E-03
73 4.000 1 2.000 9.14590 3.285E+11 4.483E+12 7.327E-02 8.240E-03
415 4.000 1 2.000 6.13969 6.908E+11 1.327E+12 5.206E-01 7.810E-03
171 4.000 1 2.000 7.15625 4.530E+11 3.024E+12 1.498E-01 6.960E-03
414 2.000 1 2.000 6.14017 9.965E+11 1.610E+12 6.190E-01 5.635E-03
135 4.000 1 2.000 7.41223 3.315E+11 1.498E+12 2.213E-01 5.460E-03
242 2.000 1 2.000 6.68572 7.060E+11 1.700E+12 4.152E-01 4.730E-03
172 2.000 1 2.000 7.15241 5.860E+11 2.132E+12 2.748E-01 4.495E-03
309 4.000 1 2.000 6.34519 3.210E+11 1.844E+12 1.740E-01 3.874E-03
31 2.000 1 2.000 9.71774 2.670E+11 6.269E+11 4.259E-01 3.781E-03
126 2.000 1 2.000 7.68842 4.249E+11 2.230E+12 1.906E-01 3.766E-03
168 4.000 1 2.000 7.16674 2.260E+11 2.624E+12 8.614E-02 3.481E-03
322 4.000 1 2.000 6.32869 2.700E+11 1.348E+12 2.003E-01 3.243E-03
169 2.000 1 2.000 7.16628 4.126E+11 3.430E+12 1.203E-01 3.177E-03
411 4.000 1 2.000 6.14230 2.713E+11 9.232E+11 2.938E-01 3.070E-03
83 4.000 1 2.000 9.02754 1.226E+11 3.051E+12 4.018E-02 2.995E-03
392 4.000 1 2.000 6.15844 2.367E+11 2.609E+12 9.072E-02 2.692E-03
286 4.000 1 2.000 6.47184 2.095E+11 1.881E+12 1.114E-01 2.631E-03
213 4.000 1 2.000 6.93429 1.746E+11 8.741E+12 1.997E-02 2.518E-03
306 2.000 1 2.000 6.34606 4.027E+11 1.293E+12 3.115E-01 2.432E-03
