j g(j) i g(i) wl A A+A^a A/(A+A^a) f
6 4.000 1 2.000 9.06070 9.880E+12 9.888E+12 9.992E-01 2.433E-01
5 2.000 1 2.000 9.10398 1.023E+13 1.024E+13 9.993E-01 1.271E-01
11 4.000 1 2.000 6.81133 4.455E+12 5.933E+12 7.509E-01 6.200E-02
10 2.000 1 2.000 6.82159 4.540E+12 6.094E+12 7.451E-01 3.168E-02
16 4.000 1 2.000 6.11036 2.320E+12 3.519E+12 6.593E-01 2.598E-02
21 4.000 1 2.000 5.78725 1.353E+12 2.208E+12 6.128E-01 1.359E-02
15 2.000 1 2.000 6.11458 2.350E+12 3.601E+12 6.528E-01 1.317E-02
26 4.000 1 2.000 5.60859 8.560E+11 1.464E+12 5.848E-01 8.075E-03
20 2.000 1 2.000 5.78943 1.366E+12 2.255E+12 6.059E-01 6.865E-03
31 4.000 1 2.000 5.49851 5.753E+11 1.016E+12 5.662E-01 5.215E-03
25 2.000 1 2.000 5.60988 8.625E+11 1.493E+12 5.779E-01 4.071E-03
36 4.000 1 2.000 5.42555 4.050E+11 7.328E+11 5.527E-01 3.576E-03
30 2.000 1 2.000 5.49934 5.790E+11 1.035E+12 5.593E-01 2.626E-03
41 4.000 1 2.000 5.37456 2.960E+11 5.458E+11 5.424E-01 2.564E-03
46 4.000 1 2.000 5.33746 2.228E+11 4.174E+11 5.336E-01 1.903E-03
35 2.000 1 2.000 5.42611 4.076E+11 7.465E+11 5.460E-01 1.799E-03
51 4.000 1 2.000 5.30960 1.718E+11 3.268E+11 5.257E-01 1.452E-03
40 2.000 1 2.000 5.37497 2.976E+11 5.556E+11 5.356E-01 1.289E-03
56 4.000 1 2.000 5.28813 1.352E+11 2.614E+11 5.174E-01 1.134E-03
45 2.000 1 2.000 5.33777 2.239E+11 4.248E+11 5.270E-01 9.565E-04
61 4.000 1 2.000 5.27121 1.082E+11 2.142E+11 5.053E-01 9.015E-04
66 4.000 1 2.000 5.25765 8.818E+10 1.850E+11 4.767E-01 7.310E-04
50 2.000 1 2.000 5.30983 1.726E+11 3.325E+11 5.191E-01 7.295E-04
8 6.000 1 2.000 9.01078 1.902E+10 2.960E+13 6.424E-04 6.945E-04
55 2.000 1 2.000 5.28830 1.358E+11 2.658E+11 5.110E-01 5.695E-04
7 4.000 1 2.000 9.02428 1.875E+10 2.975E+13 6.303E-04 4.579E-04
60 2.000 1 2.000 5.27136 1.088E+11 2.178E+11 4.993E-01 4.530E-04
65 2.000 1 2.000 5.25776 8.860E+10 1.877E+11 4.720E-01 3.673E-04
13 6.000 1 2.000 6.79954 2.668E+09 1.294E+13 2.062E-04 5.550E-05
12 4.000 1 2.000 6.80278 2.568E+09 1.303E+13 1.970E-04 3.561E-05
18 6.000 1 2.000 6.10553 6.892E+08 6.743E+12 1.022E-04 1.156E-05
17 4.000 1 2.000 6.10686 6.498E+08 6.796E+12 9.561E-05 7.265E-06
23 6.000 1 2.000 5.78475 2.513E+08 3.947E+12 6.367E-05 3.783E-06
22 4.000 1 2.000 5.78544 2.329E+08 3.979E+12 5.854E-05 2.338E-06
28 6.000 1 2.000 5.60712 1.142E+08 2.506E+12 4.557E-05 1.614E-06
27 4.000 1 2.000 5.60753 1.043E+08 2.527E+12 4.129E-05 9.835E-07
33 6.000 1 2.000 5.49756 6.027E+07 1.690E+12 3.567E-05 8.195E-07
32 4.000 1 2.000 5.49783 5.440E+07 1.704E+12 3.193E-05 4.932E-07
38 6.000 1 2.000 5.42490 3.540E+07 1.193E+12 2.967E-05 4.686E-07
43 6.000 1 2.000 5.37410 2.250E+07 8.740E+11 2.574E-05 2.923E-07
37 4.000 1 2.000 5.42508 3.165E+07 1.204E+12 2.630E-05 2.793E-07
48 6.000 1 2.000 5.33712 1.519E+07 6.597E+11 2.303E-05 1.947E-07
42 4.000 1 2.000 5.37423 1.996E+07 8.819E+11 2.263E-05 1.728E-07
53 6.000 1 2.000 5.30934 1.074E+07 5.107E+11 2.103E-05 1.362E-07
47 4.000 1 2.000 5.33722 1.338E+07 6.659E+11 2.009E-05 1.143E-07
58 6.000 1 2.000 5.28792 7.877E+06 4.040E+11 1.949E-05 9.905E-08
52 4.000 1 2.000 5.30941 9.406E+06 5.156E+11 1.824E-05 7.950E-08
63 6.000 1 2.000 5.27105 5.948E+06 3.271E+11 1.819E-05 7.435E-08
57 4.000 1 2.000 5.28798 6.865E+06 4.081E+11 1.682E-05 5.755E-08
68 6.000 1 2.000 5.25751 4.603E+06 2.755E+11 1.671E-05 5.725E-08
62 4.000 1 2.000 5.27110 5.160E+06 3.308E+11 1.560E-05 4.299E-08
67 4.000 1 2.000 5.25755 3.980E+06 2.798E+11 1.422E-05 3.298E-08
4 2.000 1 2.000 9.20360 3.456E+05 3.683E+12 9.384E-08 4.388E-09
9 2.000 1 2.000 6.84446 2.952E+05 2.557E+12 1.155E-07 2.073E-09
