j g(j) i g(i) wl A A^a A/A^a f
21 6.000 1 4.000 23.3019 8.232E+11 2.082E+14 3.954E-03 1.005E-01
22 4.000 1 4.000 23.3008 8.233E+11 2.084E+14 3.950E-03 6.703E-02
23 2.000 1 4.000 23.3001 8.235E+11 2.080E+14 3.959E-03 3.350E-02
34 6.000 1 4.000 22.2625 1.150E+11 1.388E+13 8.288E-03 1.282E-02
36 4.000 1 4.000 22.2625 1.151E+11 1.387E+13 8.294E-03 8.550E-03
111 6.000 1 4.000 22.0086 4.358E+10 1.956E+12 2.228E-02 4.748E-03
58 6.000 1 4.000 22.0962 4.288E+10 4.637E+12 9.248E-03 4.710E-03
142 6.000 1 4.000 21.9973 4.172E+10 1.126E+12 3.706E-02 4.540E-03
35 2.000 1 4.000 22.2625 1.151E+11 1.383E+13 8.321E-03 4.278E-03
210 6.000 1 4.000 21.9651 3.263E+10 6.209E+12 5.256E-03 3.540E-03
110 4.000 1 4.000 22.0086 4.363E+10 1.850E+12 2.358E-02 3.168E-03
59 4.000 1 4.000 22.0961 4.290E+10 4.556E+12 9.416E-03 3.140E-03
141 4.000 1 4.000 21.9974 4.128E+10 1.220E+12 3.382E-02 2.995E-03
205 4.000 1 4.000 21.9653 3.245E+10 6.041E+12 5.371E-03 2.348E-03
109 2.000 1 4.000 22.0086 4.373E+10 1.965E+12 2.225E-02 1.588E-03
60 2.000 1 4.000 22.0961 4.290E+10 4.589E+12 9.348E-03 1.570E-03
140 2.000 1 4.000 21.9975 4.103E+10 1.238E+12 3.313E-02 1.488E-03
335 6.000 1 4.000 21.8077 1.299E+10 1.334E+13 9.736E-04 1.389E-03
325 6.000 1 4.000 21.8367 1.282E+10 1.129E+14 1.136E-04 1.375E-03
204 2.000 1 4.000 21.9654 3.235E+10 5.890E+12 5.492E-03 1.170E-03
286 6.000 1 4.000 21.9022 1.049E+10 1.293E+14 8.109E-05 1.132E-03
334 4.000 1 4.000 21.8078 1.315E+10 1.011E+13 1.300E-03 9.373E-04
324 4.000 1 4.000 21.8368 1.269E+10 7.360E+13 1.724E-04 9.073E-04
287 4.000 1 4.000 21.9020 1.068E+10 8.321E+13 1.284E-04 7.680E-04
577 6.000 1 4.000 21.7353 6.855E+09 1.437E+12 4.772E-03 7.285E-04
152 6.000 1 4.000 21.9829 5.627E+09 3.855E+12 1.460E-03 6.115E-04
576 4.000 1 4.000 21.7353 6.928E+09 1.096E+12 6.321E-03 4.905E-04
333 2.000 1 4.000 21.8079 1.323E+10 1.290E+13 1.025E-03 4.715E-04
323 2.000 1 4.000 21.8368 1.263E+10 1.033E+13 1.222E-03 4.513E-04
151 4.000 1 4.000 21.9831 6.128E+09 3.899E+12 1.572E-03 4.440E-04
95 6.000 1 4.000 22.0335 3.798E+09 1.376E+12 2.761E-03 4.148E-04
