j g(j) i g(i) wl A A+A^a A/(A+A^a) f
8 3 1 1 5.12554 5.68E+13 1.45E+14 3.93E-01 6.72E-01
14 3 1 1 4.4408 1.56E+13 1.58E+13 9.86E-01 1.39E-01
24 3 1 1 4.25757 6.62E+12 6.80E+12 9.73E-01 5.40E-02
38 3 1 1 4.17936 3.47E+12 3.58E+12 9.69E-01 2.72E-02
56 3 1 1 4.13851 2.08E+12 2.17E+12 9.63E-01 1.61E-02
78 3 1 1 4.11443 1.42E+12 1.48E+12 9.55E-01 1.08E-02
6 3 1 1 5.15379 3.12E+11 1.54E+14 2.02E-03 3.73E-03
12 3 1 1 4.44625 8.89E+10 1.75E+13 5.07E-03 7.90E-04
22 3 1 1 4.25964 3.64E+10 7.09E+12 5.14E-03 2.98E-04
36 3 1 1 4.18038 1.82E+10 3.57E+12 5.11E-03 1.43E-04
18 5 1 1 4.42848 6.21E+09 4.14E+12 1.50E-03 9.13E-05
54 3 1 1 4.1391 1.03E+10 2.04E+12 5.02E-03 7.91E-05
28 5 1 1 4.25331 3.59E+09 1.92E+12 1.87E-03 4.86E-05
76 3 1 1 4.11481 6.22E+09 1.30E+12 4.77E-03 4.74E-05
42 5 1 1 4.17738 2.08E+09 1.04E+12 2.00E-03 2.72E-05
16 5 1 1 4.4288 1.13E+09 3.33E+12 3.40E-04 1.67E-05
60 5 1 1 4.13743 1.29E+09 6.40E+11 2.01E-03 1.65E-05
82 5 1 1 4.11379 8.51E+08 4.75E+11 1.79E-03 1.08E-05
26 5 1 1 4.25345 4.96E+08 1.49E+12 3.34E-04 6.72E-06
40 5 1 1 4.17745 2.55E+08 7.93E+11 3.21E-04 3.33E-06
7 5 1 1 5.15054 9.58E+07 1.53E+14 6.26E-07 1.90E-06
58 5 1 1 4.13748 1.47E+08 4.83E+11 3.05E-04 1.89E-06
80 5 1 1 4.11381 9.29E+07 3.46E+11 2.69E-04 1.18E-06
13 5 1 1 4.44561 3.33E+07 1.75E+13 1.91E-06 4.94E-07
23 5 1 1 4.2594 1.49E+07 7.04E+12 2.11E-06 2.02E-07
37 5 1 1 4.18027 7.86E+06 3.54E+12 2.22E-06 1.03E-07
55 5 1 1 4.13904 4.67E+06 2.03E+12 2.31E-06 6.00E-08
77 5 1 1 4.11477 3.05E+06 1.30E+12 2.35E-06 3.88E-08
9 3 1 1 4.46276 4.60E+05 2.22E+13 2.07E-08 4.12E-09
19 3 1 1 4.26564 2.07E+05 8.94E+12 2.32E-08 1.70E-09
33 3 1 1 4.18327 1.09E+05 4.48E+12 2.44E-08 8.59E-10
51 3 1 1 4.14072 6.43E+04 2.57E+12 2.50E-08 4.96E-10
73 3 1 1 4.11581 4.11E+04 1.64E+12 2.51E-08 3.13E-10
15 3 1 1 4.42885 3.62E+03 3.15E+12 1.15E-09 3.20E-11
25 3 1 1 4.25347 2.19E+03 1.41E+12 1.55E-09 1.78E-11
39 3 1 1 4.17746 1.30E+03 7.58E+11 1.71E-09 1.02E-11
57 3 1 1 4.13748 8.13E+02 4.62E+11 1.76E-09 6.26E-12
79 3 1 1 4.11382 5.41E+02 3.29E+11 1.64E-09 4.12E-12
29 5 1 1 4.25004 8.89E-02 4.21E+11 2.11E-13 1.20E-15
43 5 1 1 4.17584 7.84E-02 2.23E+11 3.51E-13 1.03E-15
61 5 1 1 4.13659 5.78E-02 1.33E+11 4.35E-13 7.42E-16
83 5 1 1 4.11327 4.18E-02 8.67E+10 4.82E-13 5.30E-16
11 3 1 1 32.411 1.29E+12 1.29E+12 1.00E+00 6.09E-01
21 3 1 1 24.819 6.29E+11 6.29E+11 1.00E+00 1.74E-01
35 3 1 1 22.417 3.43E+11 3.43E+11 1.00E+00 7.76E-02
45 3 1 1 21.304 2.10E+11 2.10E+11 1.00E+00 4.28E-02
55 3 1 1 20.688 1.43E+11 1.43E+11 1.00E+00 2.75E-02
9 3 1 1 32.592 1.64E+10 1.65E+10 9.91E-01 7.82E-03
19 3 1 1 24.858 9.83E+09 9.90E+09 9.93E-01 2.73E-03
33 3 1 1 22.433 5.64E+09 5.68E+09 9.94E-01 1.28E-03
43 3 1 1 21.312 3.40E+09 3.42E+09 9.94E-01 6.95E-04
15 5 1 1 31.665 7.99E+08 1.80E+12 4.45E-04 6.01E-04
53 3 1 1 20.693 2.13E+09 2.14E+09 9.93E-01 4.10E-04
27 5 1 1 24.652 1.79E+08 7.08E+11 2.52E-04 8.13E-05
39 5 1 1 22.35 6.37E+07 3.55E+11 1.79E-04 2.39E-05
49 5 1 1 21.27 3.01E+07 2.09E+11 1.45E-04 1.02E-05
59 5 1 1 20.668 1.75E+07 1.40E+11 1.25E-04 5.60E-06
13 5 1 1 32.044 1.49E+05 2.18E+12 6.87E-08 1.15E-07
10 5 1 1 32.562 5.41E+04 1.48E+08 3.65E-04 4.30E-08
23 5 1 1 24.728 4.87E+04 7.57E+11 6.43E-08 2.23E-08
20 5 1 1 24.851 4.44E+04 6.87E+07 6.46E-04 2.06E-08
34 5 1 1 22.43 2.93E+04 3.66E+07 8.00E-04 1.11E-08
37 5 1 1 22.379 1.95E+04 3.62E+11 5.40E-08 7.33E-09
44 5 1 1 21.311 1.95E+04 2.20E+07 8.89E-04 6.65E-09
54 5 1 1 20.692 1.38E+04 1.46E+07 9.46E-04 4.42E-09
47 5 1 1 21.285 9334 2.04E+11 4.57E-08 3.17E-09
57 5 1 1 20.677 4994 1.30E+11 3.84E-08 1.60E-09
6 3 1 1 33.588 383.3 3.03E+11 1.27E-09 1.95E-10
16 3 1 1 25.083 323 1.22E+11 2.65E-09 9.14E-11
30 3 1 1 22.524 214.1 6.12E+10 3.50E-09 4.89E-11
40 3 1 1 21.359 141.8 3.53E+10 4.02E-09 2.91E-11
12 3 1 1 32.049 41.53 2.18E+12 1.91E-11 1.92E-11
50 3 1 1 20.72 98.1 2.25E+10 4.36E-09 1.89E-11
22 3 1 1 24.729 25.47 7.58E+11 3.36E-11 7.01E-12
36 3 1 1 22.38 14.92 3.62E+11 4.12E-11 3.36E-12
46 3 1 1 21.285 9.307 2.05E+11 4.55E-11 1.90E-12
56 3 1 1 20.677 6.257 1.30E+11 4.81E-11 1.20E-12
25 5 1 1 24.653 3.81E-03 3.15E+08 1.21E-11 1.73E-15
