j g(j) i g(i) wl A A+A^a A/(A+A^a) f
17 3.000 1 1.000 6.93929 8.557E+12 3.243E+14 2.638E-02 1.853E-01
20 3.000 1 1.000 6.92323 7.483E+12 1.157E+14 6.467E-02 1.613E-01
23 3.000 1 1.000 6.91337 2.401E+12 2.697E+14 8.902E-03 5.162E-02
44 3.000 1 1.000 6.17988 2.362E+12 3.807E+13 6.204E-02 4.057E-02
65 3.000 1 1.000 6.14951 1.134E+12 1.109E+13 1.023E-01 1.929E-02
155 3.000 1 1.000 5.98824 1.186E+12 1.951E+13 6.080E-02 1.913E-02
51 3.000 1 1.000 6.17354 1.046E+12 3.160E+13 3.311E-02 1.794E-02
79 3.000 1 1.000 6.14460 6.913E+11 1.243E+13 5.564E-02 1.174E-02
325 3.000 1 1.000 5.90830 5.037E+11 9.805E+12 5.137E-02 7.906E-03
229 3.000 1 1.000 5.95005 4.867E+11 8.724E+12 5.578E-02 7.750E-03
36 3.000 1 1.000 6.19143 3.663E+11 9.761E+12 3.753E-02 6.313E-03
99 3.000 1 1.000 6.13006 3.640E+11 1.171E+13 3.109E-02 6.151E-03
322 3.000 1 1.000 5.90936 3.723E+11 3.023E+12 1.232E-01 5.850E-03
437 3.000 1 1.000 5.86953 3.673E+11 3.093E+12 1.188E-01 5.692E-03
463 3.000 1 1.000 5.86689 3.278E+11 5.898E+12 5.558E-02 5.075E-03
660 3.000 1 1.000 5.84318 3.153E+11 2.070E+12 1.523E-01 4.842E-03
152 3.000 1 1.000 5.99139 2.970E+11 4.232E+12 7.019E-02 4.795E-03
160 3.000 1 1.000 5.98485 2.935E+11 1.586E+13 1.851E-02 4.728E-03
38 3.000 1 1.000 6.18948 1.831E+11 1.096E+13 1.671E-02 3.155E-03
903 3.000 1 1.000 5.82787 1.632E+11 2.143E+12 7.619E-02 2.494E-03
460 3.000 1 1.000 5.86748 1.418E+11 1.738E+12 8.159E-02 2.196E-03
232 3.000 1 1.000 5.94826 1.340E+11 6.718E+12 1.995E-02 2.133E-03
454 3.000 1 1.000 5.86786 1.152E+11 1.573E+12 7.325E-02 1.785E-03
89 3.000 1 1.000 6.14028 1.037E+11 3.714E+13 2.791E-03 1.758E-03
1083 3.000 1 1.000 5.80353 1.145E+11 1.335E+12 8.572E-02 1.734E-03
662 3.000 1 1.000 5.84293 1.116E+11 1.561E+12 7.148E-02 1.713E-03
