j g(j) i g(i) wl A A+A^a A/(A+A^a) f
8 3.000 1 1.000 6.77848 3.172E+13 1.164E+14 2.725E-01 6.555E-01
14 3.000 1 1.000 5.89602 8.707E+12 8.894E+12 9.789E-01 1.361E-01
24 3.000 1 1.000 5.66191 3.713E+12 3.820E+12 9.721E-01 5.353E-02
38 3.000 1 1.000 5.56207 1.958E+12 2.019E+12 9.699E-01 2.724E-02
56 3.000 1 1.000 5.50995 1.187E+12 1.226E+12 9.679E-01 1.621E-02
78 3.000 1 1.000 5.47922 8.183E+11 8.546E+11 9.576E-01 1.105E-02
6 3.000 1 1.000 6.81951 7.657E+10 1.489E+14 5.141E-04 1.601E-03
12 3.000 1 1.000 5.90390 2.128E+10 1.662E+13 1.281E-03 3.337E-04
22 3.000 1 1.000 5.66492 8.630E+09 6.617E+12 1.304E-03 1.246E-04
18 5.000 1 1.000 5.87785 2.534E+09 2.887E+12 8.778E-04 6.565E-05
36 3.000 1 1.000 5.56357 4.270E+09 3.306E+12 1.292E-03 5.946E-05
28 5.000 1 1.000 5.65568 1.453E+09 1.374E+12 1.058E-03 3.484E-05
54 3.000 1 1.000 5.51082 2.386E+09 1.886E+12 1.265E-03 3.259E-05
42 5.000 1 1.000 5.55918 8.388E+08 7.475E+11 1.122E-03 1.943E-05
76 3.000 1 1.000 5.47979 1.426E+09 1.201E+12 1.187E-03 1.926E-05
60 5.000 1 1.000 5.50839 5.186E+08 4.606E+11 1.126E-03 1.180E-05
82 5.000 1 1.000 5.47831 3.438E+08 3.398E+11 1.012E-03 7.734E-06
16 5.000 1 1.000 5.87821 2.840E+08 2.017E+12 1.408E-04 7.354E-06
26 5.000 1 1.000 5.65584 1.160E+08 9.176E+11 1.264E-04 2.781E-06
40 5.000 1 1.000 5.55927 5.808E+07 4.936E+11 1.177E-04 1.346E-06
7 5.000 1 1.000 6.81640 3.046E+07 1.479E+14 2.059E-07 1.061E-06
58 5.000 1 1.000 5.50844 3.314E+07 3.016E+11 1.099E-04 7.539E-07
80 5.000 1 1.000 5.47834 2.068E+07 2.165E+11 9.554E-05 4.652E-07
13 5.000 1 1.000 5.90330 1.044E+07 1.667E+13 6.261E-07 2.727E-07
23 5.000 1 1.000 5.66469 4.648E+06 6.608E+12 7.034E-07 1.118E-07
37 5.000 1 1.000 5.56346 2.460E+06 3.296E+12 7.463E-07 5.707E-08
55 5.000 1 1.000 5.51076 1.465E+06 1.879E+12 7.798E-07 3.336E-08
77 5.000 1 1.000 5.47976 9.628E+05 1.205E+12 7.993E-07 2.167E-08
9 3.000 1 1.000 5.92852 1.105E+05 2.091E+13 5.284E-09 1.747E-09
19 3.000 1 1.000 5.67385 4.923E+04 8.317E+12 5.920E-09 7.130E-10
33 3.000 1 1.000 5.56785 2.586E+04 4.139E+12 6.247E-09 3.606E-10
51 3.000 1 1.000 5.51321 1.519E+04 2.362E+12 6.430E-09 2.077E-10
73 3.000 1 1.000 5.48128 9.707E+03 1.492E+12 6.505E-09 1.312E-10
15 3.000 1 1.000 5.87826 8.067E+02 1.905E+12 4.235E-10 1.254E-11
25 3.000 1 1.000 5.65586 4.863E+02 8.773E+11 5.544E-10 6.998E-12
39 3.000 1 1.000 5.55928 2.878E+02 4.744E+11 6.067E-10 4.001E-12
57 3.000 1 1.000 5.50844 1.802E+02 2.906E+11 6.202E-10 2.460E-12
79 3.000 1 1.000 5.47834 1.201E+02 2.085E+11 5.759E-10 1.621E-12
29 5.000 1 1.000 5.65094 1.336E-02 2.177E+11 6.135E-14 3.198E-16
43 5.000 1 1.000 5.55695 1.180E-02 1.161E+11 1.016E-13 2.730E-16
61 5.000 1 1.000 5.50715 8.710E-03 6.926E+10 1.257E-13 1.980E-16
83 5.000 1 1.000 5.47755 6.300E-03 4.535E+10 1.389E-13 1.417E-16
