j g(j) i g(i) wl A A+A^a A/(A+A^a) f
6 4.000 1 2.000 10.6211 7.183E+12 7.188E+12 9.993E-01 2.430E-01
5 2.000 1 2.000 10.6642 7.400E+12 7.405E+12 9.993E-01 1.262E-01
11 4.000 1 2.000 7.98647 3.240E+12 4.313E+12 7.512E-01 6.195E-02
10 2.000 1 2.000 7.99670 3.294E+12 4.413E+12 7.463E-01 3.157E-02
16 4.000 1 2.000 7.16527 1.687E+12 2.558E+12 6.597E-01 2.598E-02
21 4.000 1 2.000 6.78671 9.840E+11 1.605E+12 6.132E-01 1.359E-02
15 2.000 1 2.000 7.16948 1.706E+12 2.609E+12 6.541E-01 1.315E-02
26 4.000 1 2.000 6.57738 6.228E+11 1.064E+12 5.852E-01 8.075E-03
20 2.000 1 2.000 6.78889 9.925E+11 1.634E+12 6.073E-01 6.860E-03
31 4.000 1 2.000 6.44839 4.185E+11 7.388E+11 5.665E-01 5.220E-03
25 2.000 1 2.000 6.57867 6.270E+11 1.082E+12 5.793E-01 4.070E-03
36 4.000 1 2.000 6.36290 2.948E+11 5.330E+11 5.530E-01 3.579E-03
30 2.000 1 2.000 6.44922 4.212E+11 7.511E+11 5.608E-01 2.626E-03
41 4.000 1 2.000 6.30315 2.154E+11 3.970E+11 5.426E-01 2.567E-03
46 4.000 1 2.000 6.25968 1.622E+11 3.038E+11 5.338E-01 1.905E-03
35 2.000 1 2.000 6.36347 2.964E+11 5.416E+11 5.473E-01 1.800E-03
51 4.000 1 2.000 6.22703 1.251E+11 2.379E+11 5.257E-01 1.454E-03
40 2.000 1 2.000 6.30356 2.165E+11 4.033E+11 5.369E-01 1.290E-03
56 4.000 1 2.000 6.20187 9.845E+10 1.904E+11 5.171E-01 1.136E-03
45 2.000 1 2.000 6.25998 1.630E+11 3.085E+11 5.282E-01 9.575E-04
61 4.000 1 2.000 6.18205 7.885E+10 1.562E+11 5.048E-01 9.035E-04
66 4.000 1 2.000 6.16616 6.415E+10 1.350E+11 4.751E-01 7.315E-04
50 2.000 1 2.000 6.22726 1.256E+11 2.415E+11 5.202E-01 7.305E-04
8 6.000 1 2.000 10.5616 1.181E+10 2.150E+13 5.496E-04 5.925E-04
55 2.000 1 2.000 6.20205 9.890E+10 1.932E+11 5.118E-01 5.705E-04
60 2.000 1 2.000 6.18219 7.920E+10 1.585E+11 4.997E-01 4.539E-04
7 4.000 1 2.000 10.5750 1.167E+10 2.158E+13 5.407E-04 3.913E-04
65 2.000 1 2.000 6.16626 6.460E+10 1.370E+11 4.715E-01 3.683E-04
13 6.000 1 2.000 7.97242 1.665E+09 9.399E+12 1.771E-04 4.760E-05
12 4.000 1 2.000 7.97565 1.611E+09 9.457E+12 1.703E-04 3.072E-05
18 6.000 1 2.000 7.15952 4.318E+08 4.900E+12 8.814E-05 9.955E-06
17 4.000 1 2.000 7.16085 4.108E+08 4.932E+12 8.329E-05 6.315E-06
23 6.000 1 2.000 6.78373 1.580E+08 2.868E+12 5.511E-05 3.271E-06
22 4.000 1 2.000 6.78442 1.482E+08 2.887E+12 5.133E-05 2.046E-06
28 6.000 1 2.000 6.57562 7.203E+07 1.821E+12 3.956E-05 1.401E-06
27 4.000 1 2.000 6.57603 6.675E+07 1.834E+12 3.640E-05 8.655E-07
33 6.000 1 2.000 6.44726 3.812E+07 1.228E+12 3.104E-05 7.125E-07
32 4.000 1 2.000 6.44753 3.498E+07 1.237E+12 2.828E-05 4.360E-07
38 6.000 1 2.000 6.36213 2.243E+07 8.672E+11 2.587E-05 4.085E-07
43 6.000 1 2.000 6.30260 1.429E+07 6.353E+11 2.250E-05 2.554E-07
37 4.000 1 2.000 6.36231 2.042E+07 8.737E+11 2.338E-05 2.479E-07
48 6.000 1 2.000 6.25927 9.662E+06 4.797E+11 2.014E-05 1.703E-07
42 4.000 1 2.000 6.30273 1.292E+07 6.403E+11 2.018E-05 1.539E-07
53 6.000 1 2.000 6.22672 6.840E+06 3.714E+11 1.842E-05 1.193E-07
47 4.000 1 2.000 6.25937 8.683E+06 4.835E+11 1.796E-05 1.020E-07
58 6.000 1 2.000 6.20162 5.022E+06 2.939E+11 1.708E-05 8.685E-08
52 4.000 1 2.000 6.22680 6.118E+06 3.744E+11 1.634E-05 7.115E-08
63 6.000 1 2.000 6.18185 3.797E+06 2.382E+11 1.594E-05 6.525E-08
57 4.000 1 2.000 6.20168 4.473E+06 2.964E+11 1.509E-05 5.160E-08
68 6.000 1 2.000 6.16600 2.935E+06 2.008E+11 1.462E-05 5.020E-08
62 4.000 1 2.000 6.18190 3.370E+06 2.405E+11 1.401E-05 3.862E-08
67 4.000 1 2.000 6.16604 2.598E+06 2.036E+11 1.276E-05 2.961E-08
4 2.000 1 2.000 10.7897 1.563E+05 2.691E+12 5.809E-08 2.727E-09
9 2.000 1 2.000 8.02554 1.336E+05 1.867E+12 7.153E-08 1.289E-09
14 2.000 1 2.000 7.18118 8.885E+04 1.190E+12 7.464E-08 6.870E-10
19 2.000 1 2.000 6.79491 5.855E+04 7.803E+11 7.503E-08 4.053E-10
24 2.000 1 2.000 6.58222 3.973E+04 5.330E+11 7.454E-08 2.581E-10
29 2.000 1 2.000 6.45150 2.791E+04 3.784E+11 7.376E-08 1.741E-10
34 2.000 1 2.000 6.36503 2.024E+04 2.779E+11 7.285E-08 1.229E-10
39 2.000 1 2.000 6.30468 1.510E+04 2.103E+11 7.179E-08 9.000E-11
44 2.000 1 2.000 6.26081 1.154E+04 1.635E+11 7.057E-08 6.780E-11
49 2.000 1 2.000 6.22789 8.995E+03 1.302E+11 6.907E-08 5.230E-11
54 2.000 1 2.000 6.20254 7.140E+03 1.065E+11 6.707E-08 4.118E-11
59 2.000 1 2.000 6.18258 5.755E+03 9.045E+10 6.362E-08 3.298E-11
64 2.000 1 2.000 6.16658 4.712E+03 8.464E+10 5.568E-08 2.687E-11
