j g(j) i g(i) wl A A^a A/A^a f
8 4.000 1 2.000 29.4063 1.274E+12 7.797E+12 1.634E-01 3.303E-01
7 2.000 1 2.000 29.4077 1.268E+12 8.186E+12 1.548E-01 1.643E-01
16 4.000 1 2.000 26.0090 3.140E+11 7.261E+12 4.324E-02 6.370E-02
10 4.000 1 2.000 29.0602 1.363E+11 7.614E+13 1.790E-03 3.451E-02
17 2.000 1 2.000 26.0088 3.142E+11 7.278E+12 4.317E-02 3.186E-02
34 4.000 1 2.000 25.0758 1.512E+11 2.963E+12 5.101E-02 2.850E-02
26 4.000 1 2.000 25.6916 1.213E+11 1.609E+13 7.536E-03 2.400E-02
9 2.000 1 2.000 29.0612 1.424E+11 7.595E+13 1.874E-03 1.802E-02
60 4.000 1 2.000 24.6741 9.348E+10 1.408E+12 6.641E-02 1.707E-02
35 2.000 1 2.000 25.0757 1.512E+11 2.968E+12 5.096E-02 1.426E-02
25 2.000 1 2.000 25.6923 1.211E+11 1.569E+13 7.719E-03 1.199E-02
125 4.000 1 2.000 24.3385 6.238E+10 4.282E+11 1.457E-01 1.108E-02
85 4.000 1 2.000 24.4638 5.685E+10 1.139E+12 4.991E-02 1.020E-02
61 2.000 1 2.000 24.6740 9.350E+10 1.374E+12 6.807E-02 8.535E-03
50 4.000 1 2.000 24.7519 4.543E+10 7.528E+12 6.034E-03 8.345E-03
126 2.000 1 2.000 24.3384 6.225E+10 3.982E+11 1.563E-01 5.530E-03
86 2.000 1 2.000 24.4638 5.690E+10 1.116E+12 5.098E-02 5.105E-03
49 2.000 1 2.000 24.7521 4.536E+10 7.489E+12 6.057E-03 4.167E-03
159 4.000 1 2.000 24.1422 1.919E+10 2.453E+12 7.822E-03 3.354E-03
114 4.000 1 2.000 24.3515 1.760E+10 4.199E+12 4.192E-03 3.130E-03
170 4.000 1 2.000 24.0191 1.360E+10 1.784E+12 7.621E-03 2.353E-03
158 2.000 1 2.000 24.1422 1.916E+10 2.466E+12 7.768E-03 1.674E-03
113 2.000 1 2.000 24.3516 1.768E+10 4.218E+12 4.193E-03 1.572E-03
169 2.000 1 2.000 24.0191 1.358E+10 1.794E+12 7.569E-03 1.174E-03
