j g(j) i g(i) wl A A^a A/A^a f
13 2.000 1 2.000 22.7293 2.155E+12 2.567E+13 8.395E-02 1.669E-01
11 4.000 1 2.000 22.7765 9.128E+11 1.537E+14 5.939E-03 1.420E-01
14 4.000 1 2.000 22.7273 4.968E+11 2.537E+13 1.958E-02 7.695E-02
33 4.000 1 2.000 20.7272 3.250E+11 1.712E+13 1.898E-02 4.186E-02
15 2.000 1 2.000 22.5707 3.294E+11 9.559E+13 3.446E-03 2.516E-02
79 4.000 1 2.000 20.2752 1.242E+11 1.168E+13 1.063E-02 1.531E-02
25 2.000 1 2.000 20.7921 1.912E+11 3.212E+12 5.954E-02 1.239E-02
53 2.000 1 2.000 20.5858 1.628E+11 5.499E+12 2.961E-02 1.035E-02
35 2.000 1 2.000 20.6921 1.337E+11 5.500E+12 2.431E-02 8.585E-03
74 2.000 1 2.000 20.2971 1.131E+11 7.461E+11 1.516E-01 6.985E-03
139 4.000 1 2.000 20.0867 5.533E+10 8.442E+12 6.553E-03 6.695E-03
26 4.000 1 2.000 20.7918 4.520E+10 3.549E+12 1.273E-02 5.860E-03
319 4.000 1 2.000 19.9317 4.718E+10 4.524E+12 1.043E-02 5.620E-03
222 4.000 1 2.000 19.9904 4.655E+10 4.376E+12 1.064E-02 5.580E-03
54 4.000 1 2.000 20.5852 4.150E+10 5.486E+12 7.564E-03 5.275E-03
136 2.000 1 2.000 20.0950 8.630E+10 3.615E+11 2.387E-01 5.225E-03
318 2.000 1 2.000 19.9317 7.355E+10 5.542E+11 1.327E-01 4.381E-03
75 4.000 1 2.000 20.2962 3.090E+10 7.224E+11 4.277E-02 3.817E-03
119 4.000 1 2.000 20.1366 2.993E+10 5.051E+12 5.924E-03 3.639E-03
138 4.000 1 2.000 20.0941 2.583E+10 4.804E+11 5.376E-02 3.126E-03
81 2.000 1 2.000 20.2568 5.060E+10 5.707E+12 8.866E-03 3.112E-03
47 4.000 1 2.000 20.6071 2.204E+10 2.226E+13 9.898E-04 2.806E-03
217 2.000 1 2.000 19.9974 3.636E+10 3.275E+11 1.110E-01 2.180E-03
305 4.000 1 2.000 19.9416 1.661E+10 1.142E+12 1.455E-02 1.981E-03
121 2.000 1 2.000 20.1321 2.598E+10 2.681E+12 9.690E-03 1.579E-03
218 4.000 1 2.000 19.9963 1.307E+10 3.820E+11 3.421E-02 1.567E-03
432 2.000 1 2.000 19.8381 2.608E+10 8.175E+11 3.190E-02 1.539E-03
233 2.000 1 2.000 19.9826 2.191E+10 2.577E+12 8.502E-03 1.311E-03
153 2.000 1 2.000 20.0743 2.088E+10 5.271E+12 3.962E-03 1.262E-03
409 2.000 1 2.000 19.9188 1.944E+10 7.600E+12 2.558E-03 1.156E-03
463 2.000 1 2.000 19.7807 1.837E+10 6.505E+11 2.824E-02 1.077E-03
123 2.000 1 2.000 20.1276 1.523E+10 3.257E+12 4.676E-03 9.250E-04
122 4.000 1 2.000 20.1317 7.263E+09 2.801E+12 2.593E-03 8.825E-04
304 4.000 1 2.000 19.9420 7.313E+09 8.633E+11 8.470E-03 8.720E-04
312 2.000 1 2.000 19.9383 1.402E+10 7.847E+11 1.787E-02 8.360E-04
433 4.000 1 2.000 19.8380 6.640E+09 8.215E+11 8.083E-03 7.835E-04
134 2.000 1 2.000 20.0957 1.011E+10 1.738E+12 5.818E-03 6.120E-04
27 4.000 1 2.000 20.7889 4.668E+09 7.143E+12 6.534E-04 6.050E-04
431 4.000 1 2.000 19.8405 4.663E+09 2.051E+12 2.273E-03 5.505E-04
464 4.000 1 2.000 19.7807 4.673E+09 6.458E+11 7.236E-03 5.480E-04
135 4.000 1 2.000 20.0950 4.465E+09 1.776E+12 2.514E-03 5.405E-04
462 4.000 1 2.000 19.7824 3.858E+09 1.234E+12 3.127E-03 4.526E-04
57 2.000 1 2.000 20.5738 4.722E+09 1.482E+13 3.186E-04 2.996E-04
216 4.000 1 2.000 19.9984 1.301E+09 7.987E+11 1.629E-03 1.560E-04
308 4.000 1 2.000 19.9407 1.126E+09 6.120E+11 1.839E-03 1.342E-04
323 4.000 1 2.000 19.9308 1.074E+09 3.918E+12 2.741E-04 1.279E-04
73 4.000 1 2.000 20.3002 8.175E+08 2.802E+12 2.918E-04 1.010E-04
313 2.000 1 2.000 19.9370 1.470E+09 7.848E+11 1.872E-03 8.760E-05
465 2.000 1 2.000 19.7798 1.234E+09 1.507E+12 8.186E-04 7.235E-05
219 2.000 1 2.000 19.9956 1.162E+09 9.831E+11 1.182E-03 6.960E-05
434 2.000 1 2.000 19.8367 9.490E+08 2.454E+12 3.867E-04 5.600E-05
408 4.000 1 2.000 19.9247 3.753E+08 2.921E+10 1.285E-02 4.469E-05
212 2.000 1 2.000 20.0013 7.400E+08 7.656E+11 9.665E-04 4.439E-05
133 4.000 1 2.000 20.1003 2.763E+08 1.422E+12 1.943E-04 3.346E-05
220 4.000 1 2.000 19.9947 1.943E+08 9.895E+11 1.964E-04 2.330E-05
21 2.000 1 2.000 20.8121 3.498E+08 7.714E+12 4.534E-05 2.271E-05
69 2.000 1 2.000 20.3087 3.504E+08 2.864E+12 1.224E-04 2.167E-05
129 2.000 1 2.000 20.1049 3.374E+08 1.368E+12 2.467E-04 2.045E-05
76 2.000 1 2.000 20.2899 2.634E+08 3.783E+12 6.963E-05 1.625E-05
295 4.000 1 2.000 19.9760 1.294E+08 2.590E+09 4.996E-02 1.548E-05
310 4.000 1 2.000 19.9389 9.175E+07 5.622E+11 1.632E-04 1.094E-05
116 4.000 1 2.000 20.2208 8.698E+07 4.893E+09 1.778E-02 1.067E-05
343 4.000 1 2.000 19.9275 8.740E+07 6.934E+09 1.260E-02 1.041E-05
206 4.000 1 2.000 20.0615 6.758E+07 3.988E+09 1.695E-02 8.155E-06
390 4.000 1 2.000 19.9250 6.795E+07 3.244E+09 2.095E-02 8.090E-06
77 4.000 1 2.000 20.2892 4.036E+07 3.778E+12 1.068E-05 4.982E-06
199 4.000 1 2.000 20.0623 4.043E+07 3.378E+09 1.197E-02 4.878E-06
22 4.000 1 2.000 20.8115 3.683E+07 7.738E+12 4.760E-06 4.784E-06
314 4.000 1 2.000 19.9361 3.788E+07 7.219E+11 5.247E-05 4.513E-06
