j g(j) i g(i) wl A A+A^a A/(A+A^a) f
8 4.000 1 2.000 6.71719 3.090E+13 3.595E+13 8.595E-01 4.182E-01
7 2.000 1 2.000 6.71913 2.904E+13 3.918E+13 7.412E-01 1.966E-01
16 4.000 1 2.000 5.79905 6.930E+12 1.691E+13 4.098E-01 6.985E-02
10 4.000 1 2.000 6.68372 2.693E+12 1.002E+14 2.688E-02 3.608E-02
17 2.000 1 2.000 5.79876 6.955E+12 1.695E+13 4.102E-01 3.506E-02
9 2.000 1 2.000 6.68489 4.574E+12 9.948E+13 4.598E-02 3.064E-02
34 4.000 1 2.000 5.54294 3.088E+12 7.177E+12 4.302E-01 2.844E-02
26 4.000 1 2.000 5.76351 2.830E+12 2.273E+13 1.245E-01 2.819E-02
60 4.000 1 2.000 5.43296 1.667E+12 3.629E+12 4.592E-01 1.475E-02
35 2.000 1 2.000 5.54283 3.104E+12 7.145E+12 4.344E-01 1.430E-02
25 2.000 1 2.000 5.76445 2.815E+12 2.311E+13 1.218E-01 1.402E-02
50 4.000 1 2.000 5.50722 1.126E+12 9.960E+12 1.130E-01 1.024E-02
94 4.000 1 2.000 5.37533 1.032E+12 2.106E+12 4.901E-01 8.945E-03
61 2.000 1 2.000 5.43290 1.676E+12 3.633E+12 4.614E-01 7.415E-03
49 2.000 1 2.000 5.50758 1.114E+12 1.015E+13 1.097E-01 5.065E-03
82 4.000 1 2.000 5.39763 5.640E+11 5.060E+12 1.115E-01 4.927E-03
159 4.000 1 2.000 5.34030 5.275E+11 2.656E+12 1.986E-01 4.510E-03
126 4.000 1 2.000 5.34132 5.265E+11 1.805E+12 2.917E-01 4.503E-03
95 2.000 1 2.000 5.37530 1.038E+12 2.165E+12 4.794E-01 4.496E-03
81 2.000 1 2.000 5.39780 5.570E+11 5.184E+12 1.074E-01 2.434E-03
158 2.000 1 2.000 5.34039 5.455E+11 2.623E+12 2.080E-01 2.332E-03
127 2.000 1 2.000 5.34130 5.080E+11 1.894E+12 2.683E-01 2.172E-03
170 4.000 1 2.000 5.30652 2.290E+11 1.918E+12 1.194E-01 1.934E-03
169 2.000 1 2.000 5.30658 2.262E+11 1.947E+12 1.162E-01 9.545E-04
5 4.000 1 2.000 6.79043 1.865E+10 4.077E+10 4.574E-01 2.578E-04
14 4.000 1 2.000 5.80894 1.420E+10 3.203E+10 4.435E-01 1.437E-04
32 4.000 1 2.000 5.54652 6.758E+09 8.950E+10 7.551E-02 6.236E-05
3 2.000 1 2.000 6.79196 7.005E+09 1.313E+10 5.333E-01 4.845E-05
22 6.000 1 2.000 5.78614 3.147E+09 1.810E+12 1.739E-03 4.739E-05
23 4.000 1 2.000 5.78606 3.158E+09 1.813E+12 1.741E-03 3.170E-05
58 4.000 1 2.000 5.43471 3.573E+09 6.759E+10 5.286E-02 3.163E-05
13 2.000 1 2.000 5.80924 5.015E+09 1.678E+10 2.989E-01 2.538E-05
40 6.000 1 2.000 5.53851 1.638E+09 7.399E+11 2.214E-03 2.261E-05
92 4.000 1 2.000 5.37635 2.078E+09 4.751E+10 4.373E-02 1.801E-05
41 4.000 1 2.000 5.53848 1.644E+09 7.392E+11 2.224E-03 1.512E-05
66 6.000 1 2.000 5.43093 9.233E+08 3.953E+11 2.336E-03 1.225E-05
31 2.000 1 2.000 5.54664 2.376E+09 7.859E+10 3.022E-02 1.095E-05
124 4.000 1 2.000 5.34195 1.130E+09 3.513E+10 3.216E-02 9.671E-06
28 6.000 1 2.000 5.74935 5.900E+08 3.448E+12 1.711E-04 8.770E-06
67 4.000 1 2.000 5.43091 9.270E+08 3.949E+11 2.347E-03 8.200E-06
100 6.000 1 2.000 5.37425 5.620E+08 2.471E+11 2.274E-03 7.300E-06
52 6.000 1 2.000 5.50234 4.720E+08 1.755E+12 2.689E-04 6.425E-06
132 6.000 1 2.000 5.34071 4.660E+08 2.417E+11 1.928E-03 5.980E-06
27 4.000 1 2.000 5.74962 5.788E+08 3.458E+12 1.674E-04 5.735E-06
57 2.000 1 2.000 5.43477 1.256E+09 6.234E+10 2.015E-02 5.565E-06
101 4.000 1 2.000 5.37424 5.645E+08 2.468E+11 2.288E-03 4.889E-06
51 4.000 1 2.000 5.50245 4.663E+08 1.764E+12 2.642E-04 4.233E-06
133 4.000 1 2.000 5.34070 4.688E+08 2.423E+11 1.935E-03 4.009E-06
84 6.000 1 2.000 5.39534 2.968E+08 9.718E+11 3.054E-04 3.886E-06
91 2.000 1 2.000 5.37638 7.335E+08 4.465E+10 1.643E-02 3.178E-06
83 4.000 1 2.000 5.39539 2.935E+08 9.771E+11 3.004E-04 2.561E-06
123 2.000 1 2.000 5.34197 3.986E+08 3.322E+10 1.200E-02 1.706E-06
172 6.000 1 2.000 5.30575 1.160E+08 4.106E+11 2.824E-04 1.469E-06
161 6.000 1 2.000 5.33902 9.595E+07 5.578E+11 1.720E-04 1.230E-06
171 4.000 1 2.000 5.30577 1.146E+08 4.131E+11 2.774E-04 9.675E-07
160 4.000 1 2.000 5.33905 9.285E+07 5.579E+11 1.664E-04 7.935E-07
6 6.000 1 2.000 6.78775 3.198E+07 3.198E+07 1.000E+00 6.630E-07
15 6.000 1 2.000 5.80838 1.202E+07 2.752E+08 4.369E-02 1.824E-07
33 6.000 1 2.000 5.54631 5.468E+06 7.171E+10 7.625E-05 7.565E-08
59 6.000 1 2.000 5.43461 2.920E+06 5.877E+10 4.968E-05 3.879E-08
93 6.000 1 2.000 5.37629 1.747E+06 4.261E+10 4.099E-05 2.272E-08
125 6.000 1 2.000 5.34191 1.148E+06 3.182E+10 3.608E-05 1.474E-08
20 6.000 1 2.000 5.79450 6.052E+05 1.700E+12 3.560E-07 9.140E-09
38 6.000 1 2.000 5.54119 4.877E+05 7.151E+11 6.819E-07 6.735E-09
64 6.000 1 2.000 5.43215 3.267E+05 3.768E+11 8.669E-07 4.336E-09
19 4.000 1 2.000 5.79459 3.723E+05 1.701E+12 2.189E-07 3.749E-09
4 2.000 1 2.000 6.79124 4.816E+05 8.648E+13 5.568E-09 3.330E-09
130 6.000 1 2.000 5.34108 2.267E+05 1.705E+11 1.329E-06 2.908E-09
37 4.000 1 2.000 5.54123 2.968E+05 7.156E+11 4.148E-07 2.733E-09
98 6.000 1 2.000 5.37492 2.102E+05 2.306E+11 9.112E-07 2.731E-09
63 4.000 1 2.000 5.43217 1.980E+05 3.771E+11 5.251E-07 1.752E-09
11 4.000 1 2.000 5.82919 1.286E+05 2.500E+11 5.146E-07 1.311E-09
129 4.000 1 2.000 5.34108 1.368E+05 1.708E+11 8.006E-07 1.170E-09
97 4.000 1 2.000 5.37493 1.272E+05 2.309E+11 5.511E-07 1.102E-09
29 4.000 1 2.000 5.55374 5.882E+04 1.717E+11 3.427E-07 5.440E-10
24 2.000 1 2.000 5.78128 1.029E+05 1.645E+13 6.256E-09 5.155E-10
55 4.000 1 2.000 5.43816 3.130E+04 1.167E+11 2.683E-07 2.776E-10
48 2.000 1 2.000 5.51380 4.613E+04 6.309E+12 7.311E-09 2.102E-10
12 2.000 1 2.000 5.81088 3.302E+04 2.725E+13 1.211E-09 1.672E-10
89 4.000 1 2.000 5.37828 1.852E+04 8.878E+10 2.086E-07 1.607E-10
80 2.000 1 2.000 5.40081 2.488E+04 3.247E+12 7.663E-09 1.088E-10
120 4.000 1 2.000 5.34314 1.187E+04 9.016E+10 1.316E-07 1.016E-10
30 2.000 1 2.000 5.54761 1.881E+04 1.221E+13 1.540E-09 8.680E-11
121 2.000 1 2.000 5.34213 1.955E+04 3.433E+12 5.695E-09 8.365E-11
56 2.000 1 2.000 5.43527 1.058E+04 5.950E+12 1.779E-09 4.689E-11
168 2.000 1 2.000 5.30763 9.855E+03 1.265E+12 7.790E-09 4.163E-11
90 2.000 1 2.000 5.37664 6.585E+03 3.623E+12 1.817E-09 2.855E-11
18 2.000 1 2.000 5.79464 1.132E+03 1.702E+12 6.653E-10 5.700E-12
36 2.000 1 2.000 5.54125 6.880E+02 7.158E+11 9.611E-10 3.166E-12
62 2.000 1 2.000 5.43218 4.085E+02 3.774E+11 1.083E-09 1.807E-12
96 2.000 1 2.000 5.37494 2.558E+02 2.311E+11 1.107E-09 1.108E-12
128 2.000 1 2.000 5.34109 1.697E+02 1.710E+11 9.924E-10 7.255E-13
122 2.000 1 2.000 5.34208 3.635E+01 7.271E+11 4.999E-11 1.556E-13
42 4.000 1 2.000 5.53767 2.513E-02 3.012E+11 8.343E-14 2.310E-16
68 4.000 1 2.000 5.43056 2.210E-02 1.581E+11 1.398E-13 1.954E-16
43 6.000 1 2.000 5.53766 1.165E-02 3.010E+11 3.870E-14 1.607E-16
53 6.000 1 2.000 5.49971 1.083E-02 3.086E+11 3.510E-14 1.474E-16
102 4.000 1 2.000 5.37405 1.625E-02 9.322E+10 1.743E-13 1.407E-16
69 6.000 1 2.000 5.43055 1.017E-02 1.581E+11 6.434E-14 1.349E-16
85 6.000 1 2.000 5.39409 9.508E-03 1.655E+11 5.747E-14 1.245E-16
134 4.000 1 2.000 5.34055 1.169E-02 5.983E+10 1.953E-13 9.995E-17
103 6.000 1 2.000 5.37405 7.467E-03 9.321E+10 8.011E-14 9.700E-17
162 6.000 1 2.000 5.33838 7.343E-03 9.877E+10 7.435E-14 9.415E-17
135 6.000 1 2.000 5.34055 5.355E-03 5.982E+10 8.951E-14 6.870E-17
173 6.000 1 2.000 5.30534 5.102E-03 6.513E+10 7.833E-14 6.460E-17
47 6.000 1 2.000 5.53715 2.855E-03 2.917E+11 9.788E-15 3.936E-17
73 6.000 1 2.000 5.43024 2.682E-03 1.536E+11 1.746E-14 3.556E-17
107 6.000 1 2.000 5.37386 2.077E-03 9.194E+10 2.259E-14 2.698E-17
139 6.000 1 2.000 5.34043 1.234E-03 6.269E+10 1.968E-14 1.583E-17
