    j      g(j)    i      g(i)       wl            A        A+A^a    A/(A+A^a)     f
  806     7.000    1     9.000    17.5161      3.183E+12  4.209E+14  7.562E-03  1.139E-01
  797     9.000    1     9.000    17.5374      1.141E+12  2.917E+14  3.913E-03  5.260E-02
  799     9.000    1     9.000    17.5302      1.106E+12  2.917E+14  3.792E-03  5.096E-02
  791    11.000    1     9.000    17.5555      8.529E+11  3.262E+14  2.615E-03  4.817E-02
 1053     9.000    1     9.000    17.2098      7.430E+11  1.311E+72  5.667E-61  3.300E-02
 1062     9.000    1     9.000    17.1987      5.560E+11  7.027E+104  7.912E-94  2.466E-02
  819     9.000    1     9.000    17.4770      4.903E+11  4.250E+14  1.154E-03  2.246E-02
  786    11.000    1     9.000    17.5887      3.827E+11  2.507E+14  1.526E-03  2.169E-02
  787     9.000    1     9.000    17.5735      4.484E+11  2.821E+14  1.590E-03  2.077E-02
  850     9.000    1     9.000    17.4275      4.552E+11  5.196E+66  8.761E-56  2.072E-02
  793     9.000    1     9.000    17.5451      4.111E+11  3.295E+14  1.248E-03  1.898E-02
 1041    11.000    1     9.000    17.2282      2.549E+11  2.470E+124  1.032-113  1.387E-02
 1047     7.000    1     9.000    17.2196      3.190E+11  7.835E+70  4.071E-60  1.103E-02
  798     7.000    1     9.000    17.5357      2.941E+11  3.675E+14  8.003E-04  1.055E-02
  820    11.000    1     9.000    17.4743      1.795E+11  4.371E+14  4.107E-04  1.005E-02
 1031     9.000    1     9.000    17.2434      2.180E+11  1.254E+78  1.738E-67  9.717E-03
  790     7.000    1     9.000    17.5564      2.287E+11  2.990E+14  7.649E-04  8.222E-03
  813    11.000    1     9.000    17.4941      1.296E+11  3.493E+14  3.711E-04  7.271E-03
  803     7.000    1     9.000    17.5251      1.727E+11  3.444E+14  5.015E-04  6.184E-03
  818     7.000    1     9.000    17.4783      1.691E+11  3.909E+14  4.327E-04  6.024E-03
  825     7.000    1     9.000    17.4627      1.496E+11  3.812E+14  3.924E-04  5.320E-03
  807    11.000    1     9.000    17.5135      6.612E+10  3.125E+14  2.116E-04  3.717E-03
 1023     7.000    1     9.000    17.2524      9.940E+10  2.627E+84  3.784E-74  3.450E-03
 1099     9.000    1     9.000    17.1519      5.729E+10  3.764E+64  1.522E-54  2.527E-03
 1061    11.000    1     9.000    17.1988      4.622E+10  6.903E+103  6.695E-94  2.506E-03
 1091    11.000    1     9.000    17.1638      4.156E+10  4.450E+74  9.340E-65  2.243E-03
  811     9.000    1     9.000    17.4973      4.713E+10  3.714E+14  1.269E-04  2.163E-03
  822    11.000    1     9.000    17.4726      3.255E+10  3.616E+14  9.002E-05  1.821E-03
  829     9.000    1     9.000    17.4571      3.829E+10  4.635E+14  8.261E-05  1.750E-03
 1088     9.000    1     9.000    17.1650      3.718E+10  7.536E+78  4.933E-69  1.642E-03
  837     7.000    1     9.000    17.4457      4.283E+10  1.266E+57  3.383E-47  1.520E-03
  830     7.000    1     9.000    17.4549      3.750E+10  4.941E+14  7.589E-05  1.332E-03
 1104     7.000    1     9.000    17.1430      3.876E+10  3.720E+75  1.042E-65  1.329E-03
 1080     7.000    1     9.000    17.1715      3.531E+10  2.640E+124  1.338-114  1.214E-03
  832     7.000    1     9.000    17.4541      3.183E+10  4.956E+14  6.422E-05  1.131E-03
  913     7.000    1     9.000    17.3699      2.933E+10  3.166E+124  9.264-115  1.032E-03
  814     7.000    1     9.000    17.4903      2.004E+10  3.927E+14  5.103E-05  7.152E-04
  874     7.000    1     9.000    17.4049      1.255E+10  7.373E+105  1.702E-96  4.433E-04
  848    11.000    1     9.000    17.4287      6.681E+09  1.359E+64  4.916E-55  3.719E-04
 1126     7.000    1     9.000    17.1234      1.078E+10  9.498E+73  1.135E-64  3.687E-04
 1148     9.000    1     9.000    17.1068      7.754E+09  1.376E+155  5.635-146  3.402E-04
  835     9.000    1     9.000    17.4508      6.658E+09  3.421E+61  1.946E-52  3.040E-04
  839     7.000    1     9.000    17.4437      6.443E+09  6.044E+77  1.066E-68  2.286E-04
  827    11.000    1     9.000    17.4597      3.925E+09  4.743E+14  8.274E-06  2.192E-04
  854     7.000    1     9.000    17.4224      5.601E+09  1.426E+79  3.928E-70  1.982E-04
  891     9.000    1     9.000    17.3870      4.209E+09  1.376E+75  3.059E-66  1.908E-04
 1122    11.000    1     9.000    17.1272      3.500E+09  6.364E+74  5.500E-66  1.881E-04
  869     9.000    1     9.000    17.4085      4.088E+09  1.529E+76  2.673E-67  1.858E-04
 1176     7.000    1     9.000    17.0775      5.101E+09  6.916E+154  7.376-146  1.734E-04
  844     9.000    1     9.000    17.4347      3.744E+09  2.131E+75  1.757E-66  1.707E-04
 1149     9.000    1     9.000    17.1057      3.711E+09  2.297E+76  1.615E-67  1.628E-04
  932     9.000    1     9.000    17.3551      3.268E+09  8.105E+71  4.032E-63  1.476E-04
  875     7.000    1     9.000    17.4031      4.117E+09  3.966E+128  1.038-119  1.454E-04
  823     9.000    1     9.000    17.4662      2.572E+09  4.389E+14  5.861E-06  1.177E-04
  873    11.000    1     9.000    17.4066      1.632E+09  2.732E+76  5.973E-68  9.059E-05
 1115     7.000    1     9.000    17.1336      2.436E+09  2.561E+78  9.511E-70  8.336E-05
  849     7.000    1     9.000    17.4278      1.834E+09  1.020E+75  1.798E-66  6.496E-05
  858    11.000    1     9.000    17.4206      1.158E+09  2.076E+76  5.578E-68  6.439E-05
  826     9.000    1     9.000    17.4597      1.146E+09  4.815E+14  2.379E-06  5.234E-05
  961     7.000    1     9.000    17.3250      1.430E+09  5.037E+102  2.839E-94  5.008E-05
  866     7.000    1     9.000    17.4099      1.337E+09  1.559E+79  8.573E-71  4.724E-05
  934     7.000    1     9.000    17.3546      1.025E+09  1.442E+124  7.106-116  3.599E-05
  788     7.000    1     9.000    17.5658      9.627E+08  3.134E+14  3.072E-06  3.463E-05
  963     7.000    1     9.000    17.3248      8.793E+08  9.484E+76  9.271E-69  3.078E-05
  933     7.000    1     9.000    17.3551      8.540E+08  2.479E+88  3.444E-80  2.999E-05
  889     7.000    1     9.000    17.3925      5.839E+08  6.160E+76  9.478E-69  2.059E-05
 1134     9.000    1     9.000    17.1165      4.620E+08  5.057E+76  9.137E-69  2.030E-05
  926     7.000    1     9.000    17.3597      5.336E+08  2.449E+102  2.179E-94  1.876E-05
  863     7.000    1     9.000    17.4140      3.529E+08  2.281E+76  1.547E-68  1.248E-05
 1214     7.000    1     9.000    17.0425      3.377E+08  3.489E+80  9.679E-73  1.143E-05
 1140    11.000    1     9.000    17.1136      1.518E+08  6.154E+82  2.467E-75  8.149E-06
 1119     7.000    1     9.000    17.1306      2.040E+08  9.160E+75  2.227E-68  6.983E-06
 1207     7.000    1     9.000    17.0511      1.921E+08  3.693E+113  5.203-106  6.516E-06
  925     9.000    1     9.000    17.3598      1.326E+08  7.888E+103  1.680E-96  5.990E-06
  950     7.000    1     9.000    17.3375      1.550E+08  2.749E+85  5.638E-78  5.434E-06
  859     9.000    1     9.000    17.4161      1.048E+08  5.752E+75  1.821E-68  4.764E-06
  840     9.000    1     9.000    17.4431      1.037E+08  4.608E+41  2.250E-34  4.730E-06
  923    11.000    1     9.000    17.3621      6.371E+07  1.425E+104  4.471E-97  3.519E-06
 1186     7.000    1     9.000    17.0708      1.034E+08  5.833E+113  1.773-106  3.514E-06
 1109     9.000    1     9.000    17.1364      6.053E+07  2.672E+76  2.265E-69  2.666E-06
  880     7.000    1     9.000    17.3991      4.497E+07  1.296E+88  3.470E-81  1.588E-06
  877     9.000    1     9.000    17.4015      2.579E+07  1.241E+76  2.077E-69  1.171E-06
  845     7.000    1     9.000    17.4347      2.440E+07  1.447E+74  1.686E-67  8.650E-07
 1192    11.000    1     9.000    17.0664      1.535E+07  6.383E+81  2.404E-75  8.189E-07
 1146     7.000    1     9.000    17.1072      2.226E+07  2.110E+82  1.055E-75  7.593E-07
 1112     7.000    1     9.000    17.1342      2.197E+07  4.153E+77  5.291E-71  7.523E-07
  964     9.000    1     9.000    17.3239      1.412E+07  1.977E+85  7.143E-79  6.352E-07
 1094     7.000    1     9.000    17.1594      1.683E+07  5.735E+111  2.934-105  5.777E-07
  922     9.000    1     9.000    17.3623      8.084E+06  5.145E+102  1.571E-96  3.654E-07
 1194     9.000    1     9.000    17.0649      6.826E+06  9.647E+113  7.075-108  2.980E-07
 1227     7.000    1     9.000    17.0338      5.999E+06  3.357E+113  1.787-107  2.029E-07
  920    11.000    1     9.000    17.3642      1.833E+06  4.826E+90  3.798E-85  1.012E-07
 1226     9.000    1     9.000    17.0346      1.262E+05  2.732E+77  4.619E-73  5.491E-09
  978     7.000    1     9.000    17.3074      1.144E+05  2.043E+87  5.600E-83  3.997E-09
