j gj i gi wl A A+Aa bla f
617 0 0 1 17.4116 3.134E+12 4.094E+14 0 1.108E-01
607 0 0 1 17.4336 1.360E+12 3.092E+14 0 6.194E-02
602 0 0 1 17.4527 9.427E+11 3.275E+14 0 5.262E-02
612 0 0 1 17.4250 8.570E+11 2.644E+14 0 3.901E-02
854 0 0 1 17.1107 6.811E+11 3.293E+14 0 2.990E-02
604 0 0 1 17.4436 6.277E+11 3.395E+14 0 2.863E-02
630 0 0 1 17.3690 5.129E+11 4.244E+14 0 2.320E-02
597 0 0 1 17.4904 3.943E+11 2.465E+14 0 2.210E-02
598 0 0 1 17.4752 4.824E+11 2.796E+14 0 2.209E-02
656 0 0 1 17.3177 3.026E+11 3.312E+14 0 1.360E-02
606 0 0 1 17.4348 3.481E+11 3.723E+14 0 1.234E-02
868 0 0 1 17.0976 2.752E+11 3.258E+14 0 1.207E-02
831 0 0 1 17.1323 2.037E+11 2.943E+14 0 1.096E-02
631 0 0 1 17.3690 1.889E+11 4.464E+14 0 1.045E-02
601 0 0 1 17.4553 2.737E+11 3.015E+14 0 9.726E-03
815 0 0 1 17.1475 1.971E+11 3.446E+14 0 8.687E-03
629 0 0 1 17.3704 2.410E+11 3.907E+14 0 8.479E-03
613 0 0 1 17.4231 2.349E+11 3.472E+14 0 8.314E-03
624 0 0 1 17.3876 1.427E+11 3.445E+14 0 7.907E-03
840 0 0 1 17.1235 1.780E+11 2.762E+14 0 6.086E-03
871 0 0 1 17.0965 9.931E+10 1.976E+14 0 4.352E-03
850 0 0 1 17.1143 9.877E+10 1.739E+14 0 4.338E-03
844 0 0 1 17.1203 1.203E+11 2.357E+14 0 4.111E-03
641 0 0 1 17.3471 1.121E+11 4.911E+14 0 3.932E-03
659 0 0 1 17.3135 8.713E+10 1.403E+14 0 3.916E-03
636 0 0 1 17.3565 1.038E+11 3.785E+14 0 3.648E-03
864 0 0 1 17.1027 7.883E+10 1.875E+14 0 3.458E-03
618 0 0 1 17.4079 6.208E+10 3.085E+14 0 3.448E-03
809 0 0 1 17.1565 9.366E+10 3.240E+14 0 3.214E-03
856 0 0 1 17.1092 5.517E+10 1.475E+14 0 2.421E-03
