j g(j) i g(i) wl A A+A^a A/(A+A^a) f
40 3.000 1 1.000 12.2840 1.819E+13 2.180E+13 8.345E-01 1.237E+00
248 3.000 1 1.000 9.48270 6.100E+12 8.809E+12 6.925E-01 2.467E-01
58 3.000 1 1.000 11.9957 3.079E+12 3.645E+12 8.446E-01 1.993E-01
60 3.000 1 1.000 11.9515 1.815E+12 5.273E+12 3.442E-01 1.166E-01
283 3.000 1 1.000 9.19736 2.865E+12 3.718E+12 7.704E-01 1.090E-01
460 3.000 1 1.000 8.57957 2.834E+12 4.585E+12 6.181E-01 9.383E-02
116 3.000 1 1.000 11.3854 9.780E+11 2.317E+12 4.220E-01 5.703E-02
580 3.000 1 1.000 8.31871 1.659E+12 2.388E+12 6.949E-01 5.164E-02
22 3.000 1 1.000 13.0502 6.400E+11 2.274E+12 2.814E-01 4.903E-02
70 3.000 1 1.000 11.8247 5.763E+11 6.146E+12 9.378E-02 3.624E-02
94 3.000 1 1.000 11.5717 5.803E+11 3.230E+12 1.797E-01 3.496E-02
54 3.000 1 1.000 12.0564 3.970E+11 7.682E+12 5.168E-02 2.596E-02
51 3.000 1 1.000 12.1109 3.773E+11 1.147E+12 3.290E-01 2.490E-02
387 3.000 1 1.000 8.82824 6.257E+11 2.306E+12 2.713E-01 2.194E-02
56 3.000 1 1.000 12.0480 3.281E+11 1.318E+13 2.490E-02 2.142E-02
114 3.000 1 1.000 11.4185 2.145E+11 2.564E+12 8.369E-02 1.258E-02
374 3.000 1 1.000 8.84200 3.473E+11 2.083E+12 1.667E-01 1.221E-02
108 3.000 1 1.000 11.4891 1.630E+11 1.868E+12 8.728E-02 9.680E-03
786 3.000 1 1.000 8.01365 3.241E+11 1.541E+12 2.103E-01 9.360E-03
238 3.000 1 1.000 9.65126 2.101E+11 1.413E+12 1.487E-01 8.801E-03
280 3.000 1 1.000 9.22498 2.242E+11 1.216E+12 1.844E-01 8.582E-03
266 3.000 1 1.000 9.36450 2.156E+11 8.142E+12 2.648E-02 8.504E-03
284 3.000 1 1.000 9.18083 1.966E+11 1.572E+12 1.250E-01 7.453E-03
150 3.000 1 1.000 11.0359 1.323E+11 3.301E+12 4.007E-02 7.246E-03
195 3.000 1 1.000 10.6025 1.266E+11 5.650E+12 2.241E-02 6.403E-03
784 3.000 1 1.000 8.02010 1.774E+11 1.331E+12 1.333E-01 5.131E-03
490 3.000 1 1.000 8.48849 1.538E+11 4.361E+12 3.526E-02 4.984E-03
