j g(j) i g(i) wl A A^a A/A^a f
8 3.000 1 1.000 9.37818 1.596E+13 9.666E+13 1.651E-01 6.312E-01
14 3.000 1 1.000 8.20119 4.367E+12 4.560E+12 9.577E-01 1.321E-01
24 3.000 1 1.000 7.89279 1.878E+12 1.953E+12 9.618E-01 5.263E-02
38 3.000 1 1.000 7.76143 1.000E+12 1.044E+12 9.579E-01 2.709E-02
56 3.000 1 1.000 7.69290 6.133E+11 6.340E+11 9.674E-01 1.633E-02
78 3.000 1 1.000 7.65252 4.327E+11 4.506E+11 9.602E-01 1.140E-02
6 3.000 1 1.000 9.44193 1.442E+10 1.419E+14 1.016E-04 5.783E-04
12 3.000 1 1.000 8.21341 3.860E+09 1.573E+13 2.455E-04 1.171E-04
22 3.000 1 1.000 7.89749 1.539E+09 6.023E+12 2.555E-04 4.316E-05
18 5.000 1 1.000 8.17264 8.494E+08 2.033E+12 4.178E-04 4.252E-05
28 5.000 1 1.000 7.88310 4.822E+08 9.923E+11 4.859E-04 2.247E-05
36 3.000 1 1.000 7.76379 7.517E+08 3.033E+12 2.478E-04 2.037E-05
42 5.000 1 1.000 7.75697 2.776E+08 5.418E+11 5.124E-04 1.252E-05
54 3.000 1 1.000 7.69429 4.143E+08 1.720E+12 2.409E-04 1.103E-05
60 5.000 1 1.000 7.69051 1.716E+08 3.324E+11 5.162E-04 7.607E-06
76 3.000 1 1.000 7.65345 2.427E+08 1.106E+12 2.195E-04 6.394E-06
82 5.000 1 1.000 7.65114 1.139E+08 2.414E+11 4.717E-04 4.996E-06
16 5.000 1 1.000 8.17306 4.794E+07 1.163E+12 4.122E-05 2.401E-06
26 5.000 1 1.000 7.88330 1.834E+07 5.468E+11 3.354E-05 8.543E-07
7 5.000 1 1.000 9.43898 7.996E+06 1.415E+14 5.652E-08 5.341E-07
40 5.000 1 1.000 7.75708 8.972E+06 2.972E+11 3.019E-05 4.047E-07
58 5.000 1 1.000 7.69058 5.060E+06 1.823E+11 2.776E-05 2.243E-07
80 5.000 1 1.000 7.65118 3.128E+06 1.310E+11 2.388E-05 1.373E-07
13 5.000 1 1.000 8.21285 2.680E+06 1.562E+13 1.716E-07 1.355E-07
23 5.000 1 1.000 7.89728 1.190E+06 6.469E+12 1.840E-07 5.565E-08
37 5.000 1 1.000 7.76369 6.302E+05 3.014E+12 2.091E-07 2.847E-08
55 5.000 1 1.000 7.69423 3.766E+05 1.710E+12 2.203E-07 1.672E-08
77 5.000 1 1.000 7.65341 2.494E+05 1.098E+12 2.271E-07 1.095E-08
9 3.000 1 1.000 8.25254 2.092E+04 1.935E+13 1.081E-09 6.407E-10
19 3.000 1 1.000 7.91165 9.193E+03 7.601E+12 1.209E-09 2.588E-10
33 3.000 1 1.000 7.77057 4.800E+03 3.755E+12 1.278E-09 1.303E-10
51 3.000 1 1.000 7.69808 2.811E+03 2.130E+12 1.319E-09 7.491E-11
73 3.000 1 1.000 7.65579 1.794E+03 1.334E+12 1.345E-09 4.730E-11
15 3.000 1 1.000 8.17312 1.369E+02 1.110E+12 1.233E-10 4.114E-12
25 3.000 1 1.000 7.88332 8.220E+01 5.290E+11 1.554E-10 2.298E-12
39 3.000 1 1.000 7.75709 4.857E+01 2.891E+11 1.680E-10 1.315E-12
57 3.000 1 1.000 7.69058 3.042E+01 1.777E+11 1.711E-10 8.093E-13
79 3.000 1 1.000 7.65119 2.030E+01 1.280E+11 1.586E-10 5.345E-13
29 5.000 1 1.000 7.87592 1.401E-03 9.881E+10 1.417E-14 6.512E-17
43 5.000 1 1.000 7.75356 1.238E-03 5.303E+10 2.334E-14 5.577E-17
61 5.000 1 1.000 7.68862 9.144E-04 3.179E+10 2.876E-14 4.052E-17
83 5.000 1 1.000 7.64998 6.622E-04 2.094E+10 3.163E-14 2.905E-17
