j g(j) i g(i) wl A A^a A/A^a f
6 3.000 1 1.000 29.8957 1.250E+12 1.331E+12 9.389E-01 5.025E-01
12 3.000 1 1.000 26.9147 3.231E+11 3.311E+11 9.759E-01 1.053E-01
22 3.000 1 1.000 26.1936 1.460E+11 1.491E+11 9.791E-01 4.506E-02
36 3.000 1 1.000 25.8894 8.227E+10 8.408E+10 9.784E-01 2.480E-02
54 3.000 1 1.000 25.7315 5.457E+10 5.586E+10 9.768E-01 1.625E-02
76 3.000 1 1.000 25.6384 4.587E+10 4.730E+10 9.697E-01 1.356E-02
4 3.000 1 1.000 30.1988 2.670E+07 4.723E+13 5.652E-07 1.095E-05
16 5.000 1 1.000 26.7800 9.148E+06 6.072E+11 1.507E-05 4.918E-06
26 5.000 1 1.000 26.1499 5.212E+06 3.192E+11 1.633E-05 2.671E-06
10 3.000 1 1.000 26.9703 5.427E+06 1.047E+13 5.183E-07 1.776E-06
40 5.000 1 1.000 25.8702 3.000E+06 1.766E+11 1.699E-05 1.505E-06
58 5.000 1 1.000 25.7218 1.856E+06 1.072E+11 1.731E-05 9.204E-07
80 5.000 1 1.000 25.6337 1.234E+06 7.422E+10 1.662E-05 6.077E-07
20 3.000 1 1.000 26.2161 1.919E+06 4.283E+12 4.481E-07 5.932E-07
34 3.000 1 1.000 25.9013 8.473E+05 2.134E+12 3.971E-07 2.557E-07
52 3.000 1 1.000 25.7389 4.180E+05 1.162E+12 3.598E-07 1.246E-07
74 3.000 1 1.000 25.6440 2.018E+05 7.562E+11 2.668E-07 5.968E-08
5 5.000 1 1.000 30.1966 6.224E+04 4.702E+13 1.324E-09 4.254E-08
14 5.000 1 1.000 26.7808 2.848E+04 1.928E+11 1.477E-07 1.531E-08
11 5.000 1 1.000 26.9699 1.771E+04 1.036E+13 1.710E-09 9.658E-09
24 5.000 1 1.000 26.1503 1.013E+04 1.029E+11 9.844E-08 5.191E-09
21 5.000 1 1.000 26.2160 7.764E+03 4.257E+12 1.824E-09 4.000E-09
38 5.000 1 1.000 25.8704 4.852E+03 5.778E+10 8.398E-08 2.435E-09
35 5.000 1 1.000 25.9012 4.138E+03 2.213E+12 1.870E-09 2.081E-09
56 5.000 1 1.000 25.7220 2.744E+03 3.562E+10 7.703E-08 1.361E-09
53 5.000 1 1.000 25.7389 2.526E+03 1.187E+12 2.129E-09 1.254E-09
75 5.000 1 1.000 25.6440 1.760E+03 7.693E+11 2.288E-09 8.677E-10
78 5.000 1 1.000 25.6338 1.738E+03 2.550E+10 6.814E-08 8.559E-10
7 3.000 1 1.000 27.1657 4.923E+01 1.276E+13 3.859E-12 1.635E-11
17 3.000 1 1.000 26.2855 1.983E+01 4.725E+12 4.198E-12 6.163E-12
31 3.000 1 1.000 25.9342 9.953E+00 2.259E+12 4.406E-12 3.011E-12
49 3.000 1 1.000 25.7572 5.700E+00 1.252E+12 4.552E-12 1.701E-12
71 3.000 1 1.000 25.6553 3.593E+00 7.673E+11 4.683E-12 1.064E-12
13 3.000 1 1.000 26.7808 1.558E-01 1.916E+11 8.133E-13 5.026E-14
23 3.000 1 1.000 26.1503 9.253E-02 1.025E+11 9.029E-13 2.846E-14
37 3.000 1 1.000 25.8704 5.423E-02 5.761E+10 9.413E-13 1.633E-14
55 3.000 1 1.000 25.7220 3.383E-02 3.554E+10 9.521E-13 1.006E-14
77 3.000 1 1.000 25.6338 2.255E-02 2.545E+10 8.860E-13 6.664E-15
27 5.000 1 1.000 26.1252 1.965E-07 4.072E+09 4.825E-17 1.005E-19
41 5.000 1 1.000 25.8579 1.743E-07 2.260E+09 7.715E-17 8.737E-20
59 5.000 1 1.000 25.7149 1.291E-07 1.381E+09 9.345E-17 6.397E-20
81 5.000 1 1.000 25.6294 9.356E-08 9.237E+08 1.013E-16 4.607E-20
