j g(j) i g(i) wl A A+A^a A/(A+A^a) f
19 5.000 1 5.000 14.5255 3.358E+12 2.546E+14 1.319E-02 1.062E-01
20 3.000 1 5.000 14.5236 1.868E+12 2.525E+14 7.396E-03 3.544E-02
40 7.000 1 5.000 13.6901 4.279E+11 1.211E+13 3.533E-02 1.683E-02
48 5.000 1 5.000 13.6769 2.204E+11 4.762E+12 4.628E-02 6.182E-03
60 7.000 1 5.000 13.6179 1.390E+11 8.790E+12 1.582E-02 5.412E-03
55 5.000 1 5.000 13.6279 1.732E+11 2.943E+12 5.885E-02 4.824E-03
46 3.000 1 5.000 13.6840 2.675E+11 1.281E+13 2.089E-02 4.506E-03
116 7.000 1 5.000 13.5384 9.670E+10 2.619E+12 3.693E-02 3.720E-03
42 5.000 1 5.000 13.6887 1.253E+11 1.179E+13 1.062E-02 3.520E-03
62 7.000 1 5.000 13.6161 6.137E+10 8.307E+12 7.388E-03 2.388E-03
95 5.000 1 5.000 13.5793 7.674E+10 2.529E+12 3.035E-02 2.122E-03
76 3.000 1 5.000 13.6033 1.190E+11 5.250E+12 2.267E-02 1.981E-03
313 7.000 1 5.000 13.4588 4.141E+10 1.798E+12 2.304E-02 1.575E-03
53 3.000 1 5.000 13.6284 8.230E+10 2.970E+12 2.771E-02 1.375E-03
50 3.000 1 5.000 13.6765 7.847E+10 4.953E+12 1.584E-02 1.320E-03
61 5.000 1 5.000 13.6163 4.482E+10 9.010E+12 4.974E-03 1.246E-03
67 7.000 1 5.000 13.6133 2.891E+10 9.192E+12 3.146E-03 1.125E-03
105 5.000 1 5.000 13.5434 3.724E+10 6.753E+12 5.515E-03 1.024E-03
120 3.000 1 5.000 13.5362 5.527E+10 2.891E+12 1.912E-02 9.108E-04
216 7.000 1 5.000 13.4811 2.314E+10 9.292E+11 2.491E-02 8.826E-04
324 5.000 1 5.000 13.4550 2.778E+10 2.315E+11 1.200E-01 7.540E-04
96 3.000 1 5.000 13.5787 4.540E+10 2.793E+12 1.625E-02 7.530E-04
220 7.000 1 5.000 13.4800 1.700E+10 8.159E+11 2.084E-02 6.486E-04
667 7.000 1 5.000 13.4004 1.631E+10 7.054E+11 2.313E-02 6.150E-04
331 7.000 1 5.000 13.4520 1.616E+10 5.056E+11 3.195E-02 6.136E-04
118 5.000 1 5.000 13.5371 1.769E+10 2.416E+12 7.323E-03 4.862E-04
297 5.000 1 5.000 13.4626 1.717E+10 1.248E+12 1.376E-02 4.666E-04
223 3.000 1 5.000 13.4794 2.855E+10 1.084E+12 2.634E-02 4.666E-04
326 3.000 1 5.000 13.4542 2.776E+10 1.680E+11 1.653E-01 4.520E-04
106 3.000 1 5.000 13.5432 2.632E+10 6.623E+12 3.973E-03 4.342E-04
56 3.000 1 5.000 13.6266 2.484E+10 3.112E+12 7.982E-03 4.148E-04
228 5.000 1 5.000 13.4770 1.443E+10 8.113E+11 1.778E-02 3.928E-04
451 7.000 1 5.000 13.4354 8.586E+09 3.089E+11 2.779E-02 3.254E-04
322 3.000 1 5.000 13.4557 1.802E+10 1.287E+12 1.400E-02 2.934E-04
43 3.000 1 5.000 13.6878 1.737E+10 1.188E+13 1.462E-03 2.926E-04
798 7.000 1 5.000 13.3714 7.554E+09 6.313E+11 1.197E-02 2.836E-04
112 7.000 1 5.000 13.5404 7.071E+09 1.782E+12 3.968E-03 2.722E-04
800 5.000 1 5.000 13.3711 9.738E+09 3.622E+13 2.689E-04 2.610E-04
224 5.000 1 5.000 13.4793 8.818E+09 8.279E+11 1.065E-02 2.402E-04
311 5.000 1 5.000 13.4611 8.236E+09 1.629E+12 5.057E-03 2.238E-04
670 5.000 1 5.000 13.3991 7.048E+09 9.504E+11 7.416E-03 1.897E-04
314 5.000 1 5.000 13.4586 6.970E+09 2.113E+12 3.298E-03 1.893E-04
308 3.000 1 5.000 13.4620 1.132E+10 7.356E+11 1.539E-02 1.846E-04
58 7.000 1 5.000 13.6250 4.283E+09 1.181E+13 3.626E-04 1.669E-04
801 3.000 1 5.000 13.3705 9.973E+09 2.416E+13 4.129E-04 1.604E-04
219 5.000 1 5.000 13.4802 5.748E+09 8.024E+11 7.164E-03 1.566E-04
334 7.000 1 5.000 13.4507 4.009E+09 3.209E+11 1.249E-02 1.522E-04
673 5.000 1 5.000 13.3978 5.550E+09 7.677E+11 7.229E-03 1.494E-04
226 5.000 1 5.000 13.4790 5.410E+09 5.950E+11 9.093E-03 1.474E-04
672 3.000 1 5.000 13.3987 8.880E+09 5.691E+11 1.560E-02 1.434E-04
318 5.000 1 5.000 13.4568 5.250E+09 2.720E+12 1.930E-03 1.425E-04
960 7.000 1 5.000 13.3549 3.723E+09 3.465E+11 1.074E-02 1.393E-04
117 5.000 1 5.000 13.5373 4.312E+09 1.400E+12 3.079E-03 1.184E-04
66 5.000 1 5.000 13.6136 4.078E+09 9.017E+12 4.522E-04 1.133E-04
674 3.000 1 5.000 13.3972 6.363E+09 7.433E+11 8.561E-03 1.027E-04
276 7.000 1 5.000 13.4642 2.667E+09 2.359E+12 1.131E-03 1.015E-04
301 7.000 1 5.000 13.4625 2.653E+09 1.620E+12 1.637E-03 1.009E-04
