j g(j) i g(i) wl A A^a A/A^a f
13 2.000 1 2.000 14.0201 6.430E+12 3.553E+13 1.810E-01 1.895E-01
11 4.000 1 2.000 14.0469 2.810E+12 1.842E+14 1.525E-02 1.663E-01
14 4.000 1 2.000 14.0176 1.363E+12 3.541E+13 3.848E-02 8.030E-02
33 4.000 1 2.000 12.5723 1.082E+12 2.180E+13 4.960E-02 5.125E-02
15 2.000 1 2.000 13.9404 9.155E+11 1.153E+14 7.939E-03 2.667E-02
79 4.000 1 2.000 12.2211 3.933E+11 1.388E+13 2.834E-02 1.762E-02
25 2.000 1 2.000 12.6075 5.925E+11 5.360E+12 1.105E-01 1.412E-02
51 2.000 1 2.000 12.5017 5.235E+11 7.339E+12 7.133E-02 1.226E-02
35 2.000 1 2.000 12.5523 4.518E+11 7.135E+12 6.331E-02 1.067E-02
151 4.000 1 2.000 12.0732 1.758E+11 7.803E+12 2.253E-02 7.685E-03
74 2.000 1 2.000 12.2326 3.351E+11 1.616E+12 2.074E-01 7.515E-03
52 4.000 1 2.000 12.5009 1.355E+11 7.259E+12 1.866E-02 6.350E-03
26 4.000 1 2.000 12.6075 1.306E+11 6.184E+12 2.112E-02 6.225E-03
227 4.000 1 2.000 11.9962 1.200E+11 6.189E+12 1.939E-02 5.180E-03
146 2.000 1 2.000 12.0785 1.959E+11 8.799E+11 2.226E-01 4.285E-03
75 4.000 1 2.000 12.2315 9.455E+10 1.893E+12 4.996E-02 4.242E-03
228 2.000 1 2.000 11.9960 1.931E+11 9.127E+11 2.116E-01 4.165E-03
219 4.000 1 2.000 12.0006 9.445E+10 1.747E+12 5.408E-02 4.079E-03
81 2.000 1 2.000 12.2109 1.607E+11 6.875E+12 2.337E-02 3.593E-03
148 4.000 1 2.000 12.0774 8.205E+10 1.030E+12 7.964E-02 3.589E-03
121 2.000 1 2.000 12.1484 1.568E+11 3.460E+12 4.532E-02 3.469E-03
333 4.000 1 2.000 11.9525 7.838E+10 1.148E+12 6.829E-02 3.358E-03
119 4.000 1 2.000 12.1514 7.228E+10 8.876E+12 8.143E-03 3.201E-03
43 4.000 1 2.000 12.5125 5.845E+10 3.171E+13 1.843E-03 2.744E-03
336 4.000 1 2.000 11.9508 4.873E+10 2.578E+12 1.890E-02 2.087E-03
122 4.000 1 2.000 12.1481 4.290E+10 3.487E+12 1.230E-02 1.899E-03
155 2.000 1 2.000 12.0670 7.245E+10 4.815E+12 1.505E-02 1.582E-03
27 4.000 1 2.000 12.6050 3.108E+10 9.283E+12 3.348E-03 1.480E-03
432 2.000 1 2.000 11.9209 6.520E+10 9.728E+11 6.702E-02 1.389E-03
224 2.000 1 2.000 11.9985 5.670E+10 1.302E+12 4.356E-02 1.223E-03
330 2.000 1 2.000 11.9536 5.675E+10 5.324E+11 1.066E-01 1.216E-03
356 2.000 1 2.000 11.9472 4.464E+10 3.106E+12 1.437E-02 9.550E-04
463 2.000 1 2.000 11.8757 4.010E+10 6.516E+11 6.155E-02 8.480E-04
331 2.000 1 2.000 11.9531 3.951E+10 8.187E+11 4.826E-02 8.465E-04
430 4.000 1 2.000 11.9218 1.777E+10 2.556E+12 6.952E-03 7.570E-04
433 4.000 1 2.000 11.9208 1.732E+10 1.005E+12 1.723E-02 7.380E-04
217 4.000 1 2.000 12.0017 1.661E+10 1.227E+12 1.354E-02 7.175E-04
123 2.000 1 2.000 12.1456 3.118E+10 6.493E+12 4.801E-03 6.895E-04
73 4.000 1 2.000 12.2337 1.363E+10 3.771E+12 3.614E-03 6.115E-04
461 4.000 1 2.000 11.8762 1.447E+10 1.556E+12 9.299E-03 6.115E-04
147 2.000 1 2.000 12.0775 2.112E+10 2.091E+12 1.010E-02 4.619E-04
464 4.000 1 2.000 11.8756 1.063E+10 6.718E+11 1.582E-02 4.494E-04
145 4.000 1 2.000 12.0797 8.285E+09 1.881E+12 4.404E-03 3.625E-04
241 2.000 1 2.000 11.9907 1.574E+10 5.500E+12 2.862E-03 3.393E-04
329 4.000 1 2.000 11.9542 7.260E+09 6.974E+11 1.041E-02 3.112E-04
55 2.000 1 2.000 12.4928 1.162E+10 2.211E+13 5.254E-04 2.718E-04
