j g(j) i g(i) wl A A+A^a A/(A+A^a) f
57 4.000 1 4.000 10.7934 2.618E+13 2.797E+13 9.358E-01 4.575E-01
55 6.000 1 4.000 10.8085 1.528E+13 1.958E+13 7.807E-01 4.015E-01
50 6.000 1 4.000 10.8589 7.525E+12 1.335E+13 5.636E-01 1.996E-01
58 2.000 1 4.000 10.7857 2.137E+13 2.500E+13 8.547E-01 1.864E-01
76 6.000 1 4.000 10.5944 6.002E+12 7.340E+12 8.177E-01 1.515E-01
39 6.000 1 4.000 11.0039 5.535E+12 6.510E+12 8.503E-01 1.508E-01
48 6.000 1 4.000 10.9005 4.518E+12 4.735E+12 9.543E-01 1.207E-01
75 4.000 1 4.000 10.5980 5.953E+12 6.094E+12 9.768E-01 1.002E-01
304 4.000 1 4.000 8.38229 7.900E+12 1.025E+13 7.709E-01 8.323E-02
63 6.000 1 4.000 10.7369 3.092E+12 3.343E+13 9.249E-02 8.013E-02
60 2.000 1 4.000 10.7743 8.995E+12 1.991E+13 4.517E-01 7.825E-02
303 6.000 1 4.000 8.38641 4.195E+12 7.337E+12 5.718E-01 6.635E-02
297 6.000 1 4.000 8.42684 3.790E+12 5.706E+12 6.642E-01 6.053E-02
285 6.000 1 4.000 8.49776 3.645E+12 6.437E+12 5.663E-01 5.920E-02
45 4.000 1 4.000 10.9143 3.265E+12 5.571E+12 5.861E-01 5.833E-02
305 2.000 1 4.000 8.37999 9.455E+12 1.141E+13 8.288E-01 4.978E-02
78 2.000 1 4.000 10.5848 5.855E+12 5.942E+12 9.854E-01 4.918E-02
336 6.000 1 4.000 8.15896 3.238E+12 4.287E+12 7.554E-01 4.848E-02
159 6.000 1 4.000 9.93710 2.037E+12 2.750E+12 7.406E-01 4.525E-02
19 6.000 1 4.000 11.5341 1.402E+12 1.903E+12 7.364E-01 4.193E-02
335 4.000 1 4.000 8.15953 3.293E+12 4.320E+12 7.622E-01 3.285E-02
496 4.000 1 4.000 7.60127 3.443E+12 4.982E+12 6.910E-01 2.983E-02
450 6.000 1 4.000 7.69610 2.092E+12 4.111E+12 5.088E-01 2.788E-02
17 4.000 1 4.000 11.6084 1.313E+12 1.701E+12 7.718E-01 2.653E-02
37 4.000 1 4.000 11.0411 1.445E+12 2.401E+12 6.018E-01 2.640E-02
478 6.000 1 4.000 7.63520 1.995E+12 3.404E+12 5.860E-01 2.618E-02
495 6.000 1 4.000 7.60325 1.644E+12 3.433E+12 4.788E-01 2.137E-02
541 6.000 1 4.000 7.39252 1.730E+12 2.535E+12 6.825E-01 2.127E-02
437 6.000 1 4.000 7.74290 1.537E+12 2.711E+12 5.668E-01 2.072E-02
497 2.000 1 4.000 7.60026 4.485E+12 5.742E+12 7.811E-01 1.942E-02
16 2.000 1 4.000 11.7426 1.807E+12 2.059E+12 8.772E-01 1.868E-02
293 4.000 1 4.000 8.43234 1.739E+12 4.067E+12 4.275E-01 1.854E-02
105 6.000 1 4.000 10.2794 7.465E+11 6.765E+12 1.103E-01 1.774E-02
337 2.000 1 4.000 8.15650 3.402E+12 4.435E+12 7.670E-01 1.697E-02
126 2.000 1 4.000 10.1056 2.067E+12 3.239E+12 6.382E-01 1.583E-02
623 4.000 1 4.000 7.23671 1.925E+12 2.932E+12 6.565E-01 1.512E-02
117 4.000 1 4.000 10.1995 9.298E+11 8.620E+12 1.079E-01 1.450E-02
150 4.000 1 4.000 9.96669 9.668E+11 1.671E+12 5.784E-01 1.440E-02
539 4.000 1 4.000 7.39335 1.689E+12 2.526E+12 6.685E-01 1.384E-02
49 4.000 1 4.000 10.8638 7.465E+11 8.437E+12 8.848E-02 1.321E-02
116 6.000 1 4.000 10.2035 5.627E+11 2.110E+12 2.667E-01 1.317E-02
596 6.000 1 4.000 7.26658 1.102E+12 2.118E+12 5.202E-01 1.308E-02
300 6.000 1 4.000 8.41555 7.015E+11 8.428E+12 8.323E-02 1.117E-02
572 6.000 1 4.000 7.32274 8.855E+11 2.894E+12 3.060E-01 1.068E-02
434 4.000 1 4.000 7.75101 1.167E+12 2.496E+12 4.677E-01 1.052E-02
624 2.000 1 4.000 7.23617 2.586E+12 3.437E+12 7.523E-01 1.015E-02
622 6.000 1 4.000 7.23776 8.467E+11 1.962E+12 4.316E-01 9.975E-03
162 4.000 1 4.000 9.91116 6.518E+11 2.332E+12 2.794E-01 9.598E-03
726 6.000 1 4.000 7.11534 8.358E+11 1.845E+12 4.531E-01 9.518E-03
278 6.000 1 4.000 8.54769 5.667E+11 1.506E+12 3.762E-01 9.313E-03
