j g(j) i g(i) wl A A^a A/A^a f
17 3.000 1 1.000 23.1110 5.217E+11 1.997E+14 2.612E-03 1.253E-01
20 3.000 1 1.000 23.0506 4.350E+11 4.141E+13 1.050E-02 1.039E-01
22 3.000 1 1.000 22.9805 2.887E+11 1.648E+14 1.752E-03 6.858E-02
41 3.000 1 1.000 21.5316 1.113E+11 1.795E+13 6.201E-03 2.321E-02
46 3.000 1 1.000 21.5096 6.287E+10 1.431E+13 4.394E-03 1.309E-02
122 3.000 1 1.000 21.2073 6.307E+10 1.158E+13 5.445E-03 1.276E-02
219 3.000 1 1.000 21.0865 2.997E+10 4.814E+12 6.225E-03 5.993E-03
337 3.000 1 1.000 21.0132 3.005E+10 4.809E+12 6.248E-03 5.968E-03
83 3.000 1 1.000 21.3581 2.825E+10 5.027E+12 5.620E-03 5.796E-03
587 3.000 1 1.000 20.9720 2.874E+10 7.201E+12 3.991E-03 5.686E-03
37 3.000 1 1.000 21.5836 2.589E+10 1.674E+12 1.547E-02 5.425E-03
91 3.000 1 1.000 21.3250 2.414E+10 9.408E+12 2.566E-03 4.937E-03
463 3.000 1 1.000 20.9788 2.438E+10 8.606E+12 2.832E-03 4.825E-03
116 3.000 1 1.000 21.2242 2.356E+10 2.255E+11 1.045E-01 4.774E-03
88 3.000 1 1.000 21.3425 1.603E+10 5.243E+12 3.058E-03 3.285E-03
224 3.000 1 1.000 21.0794 1.452E+10 5.126E+12 2.833E-03 2.902E-03
361 3.000 1 1.000 21.0087 1.393E+10 2.708E+12 5.144E-03 2.765E-03
437 3.000 1 1.000 20.9969 1.330E+10 2.457E+12 5.412E-03 2.637E-03
95 3.000 1 1.000 21.3138 1.235E+10 6.280E+12 1.967E-03 2.524E-03
98 3.000 1 1.000 21.2854 1.067E+10 4.108E+12 2.597E-03 2.174E-03
443 3.000 1 1.000 20.9929 6.953E+09 1.622E+12 4.286E-03 1.378E-03
740 3.000 1 1.000 20.8519 6.597E+09 6.066E+12 1.087E-03 1.290E-03
217 3.000 1 1.000 21.0947 5.953E+09 4.183E+11 1.423E-02 1.192E-03
884 3.000 1 1.000 20.7976 5.373E+09 3.326E+12 1.615E-03 1.045E-03
162 3.000 1 1.000 21.1668 4.787E+09 1.322E+13 3.619E-04 9.643E-04
730 3.000 1 1.000 20.8642 4.887E+09 7.696E+12 6.350E-04 9.568E-04
