j g(j) i g(i) wl A A+A^a A/(A+A^a) f
17 3.000 1 1.000 5.23368 1.686E+13 3.567E+14 4.726E-02 2.077E-01
20 3.000 1 1.000 5.22248 1.424E+13 1.700E+14 8.376E-02 1.747E-01
44 3.000 1 1.000 4.62851 4.583E+12 4.418E+13 1.037E-01 4.417E-02
23 3.000 1 1.000 5.21579 2.667E+12 2.958E+14 9.016E-03 3.263E-02
64 3.000 1 1.000 4.60848 2.147E+12 1.369E+13 1.568E-01 2.051E-02
155 3.000 1 1.000 4.47258 2.071E+12 2.134E+13 9.704E-02 1.863E-02
52 3.000 1 1.000 4.62367 1.778E+12 3.700E+13 4.804E-02 1.709E-02
77 3.000 1 1.000 4.60466 1.275E+12 1.666E+13 7.655E-02 1.216E-02
326 3.000 1 1.000 4.40773 1.190E+12 5.839E+12 2.039E-01 1.040E-02
229 3.000 1 1.000 4.44726 9.283E+11 1.050E+13 8.843E-02 8.259E-03
152 3.000 1 1.000 4.47426 8.483E+11 6.320E+12 1.342E-01 7.637E-03
520 3.000 1 1.000 4.37372 8.747E+11 3.938E+12 2.221E-01 7.526E-03
673 3.000 1 1.000 4.35386 7.190E+11 2.949E+12 2.438E-01 6.130E-03
98 3.000 1 1.000 4.59477 6.080E+11 1.672E+13 3.637E-02 5.772E-03
39 3.000 1 1.000 4.63449 5.923E+11 1.330E+13 4.455E-02 5.721E-03
35 3.000 1 1.000 4.63629 5.893E+11 1.317E+13 4.475E-02 5.697E-03
427 3.000 1 1.000 4.38156 5.613E+11 4.699E+12 1.194E-01 4.846E-03
160 3.000 1 1.000 4.46970 3.960E+11 1.764E+13 2.245E-02 3.560E-03
327 3.000 1 1.000 4.40707 3.710E+11 8.643E+12 4.293E-02 3.242E-03
76 3.000 1 1.000 4.60491 2.753E+11 2.345E+13 1.174E-02 2.625E-03
869 3.000 1 1.000 4.34751 2.905E+11 2.705E+12 1.074E-01 2.469E-03
231 3.000 1 1.000 4.44578 2.540E+11 8.462E+12 3.002E-02 2.258E-03
523 3.000 1 1.000 4.37349 2.518E+11 2.644E+12 9.523E-02 2.166E-03
323 3.000 1 1.000 4.40825 2.306E+11 2.860E+12 8.061E-02 2.015E-03
149 3.000 1 1.000 4.47530 1.992E+11 5.266E+12 3.782E-02 1.794E-03
1099 3.000 1 1.000 4.32756 2.088E+11 1.681E+12 1.242E-01 1.759E-03
439 3.000 1 1.000 4.38075 1.477E+11 4.490E+12 3.290E-02 1.275E-03
219 3.000 1 1.000 4.45149 1.384E+11 7.176E+12 1.929E-02 1.234E-03
85 3.000 1 1.000 4.60182 1.265E+11 4.097E+13 3.088E-03 1.205E-03
904 3.000 1 1.000 4.34700 1.037E+11 3.031E+12 3.423E-02 8.817E-04
225 3.000 1 1.000 4.45005 9.077E+10 8.211E+12 1.105E-02 8.084E-04
235 3.000 1 1.000 4.44334 9.060E+10 8.467E+12 1.070E-02 8.045E-04
334 3.000 1 1.000 4.40481 9.037E+10 8.420E+12 1.073E-02 7.886E-04
94 3.000 1 1.000 4.59965 6.573E+10 2.805E+13 2.344E-03 6.256E-04
1101 3.000 1 1.000 4.32723 6.273E+10 2.082E+12 3.014E-02 5.284E-04
718 3.000 1 1.000 4.35144 4.477E+10 2.467E+12 1.814E-02 3.813E-04
33 3.000 1 1.000 4.63806 3.543E+10 1.301E+13 2.724E-03 3.428E-04
713 3.000 1 1.000 4.35163 3.061E+10 2.267E+12 1.350E-02 2.607E-04
726 3.000 1 1.000 4.35089 2.482E+10 3.130E+12 7.930E-03 2.114E-04
147 3.000 1 1.000 4.47657 1.902E+10 5.220E+12 3.643E-03 1.714E-04
553 3.000 1 1.000 4.37102 1.663E+10 3.830E+12 4.343E-03 1.429E-04
527 3.000 1 1.000 4.37287 1.584E+10 4.329E+12 3.660E-03 1.363E-04
760 3.000 1 1.000 4.35056 1.599E+10 2.481E+12 6.444E-03 1.361E-04
