j g(j) i g(i) wl A A+A^a A/(A+A^a) f
21 6.000 1 4.000 6.99922 1.281E+13 3.705E+14 3.458E-02 1.412E-01
22 4.000 1 4.000 6.99718 1.286E+13 3.714E+14 3.461E-02 9.438E-02
23 2.000 1 4.000 6.99600 1.288E+13 3.712E+14 3.470E-02 4.725E-02
34 6.000 1 4.000 6.31710 3.163E+12 3.997E+13 7.914E-02 2.840E-02
35 4.000 1 4.000 6.31703 3.160E+12 3.978E+13 7.944E-02 1.891E-02
71 6.000 1 4.000 6.27224 1.707E+12 1.082E+13 1.578E-01 1.510E-02
177 6.000 1 4.000 6.14994 1.456E+12 2.000E+13 7.278E-02 1.238E-02
69 4.000 1 4.000 6.27257 1.691E+12 1.035E+13 1.634E-01 9.973E-03
36 2.000 1 4.000 6.31695 3.165E+12 3.968E+13 7.976E-02 9.468E-03
178 4.000 1 4.000 6.14992 1.457E+12 1.893E+13 7.697E-02 8.263E-03
231 6.000 1 4.000 6.09934 7.000E+11 5.025E+12 1.393E-01 5.858E-03
317 6.000 1 4.000 6.08053 6.700E+11 1.302E+13 5.145E-02 5.570E-03
70 2.000 1 4.000 6.27243 1.749E+12 1.007E+13 1.737E-01 5.158E-03
179 2.000 1 4.000 6.14990 1.460E+12 1.882E+13 7.756E-02 4.138E-03
316 4.000 1 4.000 6.08054 6.990E+11 1.264E+13 5.532E-02 3.875E-03
230 4.000 1 4.000 6.09957 6.885E+11 4.853E+12 1.419E-01 3.840E-03
78 6.000 1 4.000 6.26661 4.317E+11 2.065E+13 2.090E-02 3.813E-03
434 6.000 1 4.000 6.04587 4.400E+11 4.389E+12 1.002E-01 3.618E-03
589 6.000 1 4.000 6.02945 3.477E+11 2.371E+12 1.466E-01 2.843E-03
604 6.000 1 4.000 6.02473 3.353E+11 3.414E+12 9.821E-02 2.738E-03
77 4.000 1 4.000 6.26751 4.353E+11 1.891E+13 2.301E-02 2.563E-03
435 4.000 1 4.000 6.04585 4.395E+11 4.442E+12 9.894E-02 2.408E-03
318 2.000 1 4.000 6.08051 7.640E+11 1.134E+13 6.736E-02 2.117E-03
229 2.000 1 4.000 6.09974 6.940E+11 4.616E+12 1.503E-01 1.936E-03
603 4.000 1 4.000 6.02477 3.473E+11 3.307E+12 1.050E-01 1.890E-03
574 4.000 1 4.000 6.02956 3.425E+11 2.315E+12 1.479E-01 1.867E-03
923 6.000 1 4.000 5.99357 1.947E+11 1.371E+12 1.420E-01 1.573E-03
76 2.000 1 4.000 6.26803 4.169E+11 1.780E+13 2.342E-02 1.228E-03
436 2.000 1 4.000 6.04584 4.422E+11 4.309E+12 1.026E-01 1.212E-03
922 4.000 1 4.000 5.99363 1.962E+11 1.293E+12 1.517E-01 1.057E-03
1245 6.000 1 4.000 5.97267 1.246E+11 8.542E+11 1.458E-01 9.995E-04
602 2.000 1 4.000 6.02478 3.645E+11 2.985E+12 1.221E-01 9.918E-04
314 6.000 1 4.000 6.08109 1.144E+11 1.285E+13 8.905E-03 9.515E-04
1244 4.000 1 4.000 5.97270 1.261E+11 8.023E+11 1.571E-01 6.743E-04
567 2.000 1 4.000 6.02963 2.410E+11 1.498E+12 1.609E-01 6.568E-04
498 6.000 1 4.000 6.03893 7.278E+10 4.018E+12 1.812E-02 5.970E-04
